Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,DISABILITY_STATUS,COMMENT_OBS,GeoCode,Value
2014,,,Y5T17,,,,,,,,25.8
2018,,,Y5T17,,,,,,,,26.7
2023,,,Y5T17,,,,,,,,19.6
2014,,M,Y5T17,,,,,,,,29.9
2018,,M,Y5T17,,,,,,,,33.6
2023,,M,Y5T17,,,,,,,,23.2
2014,,F,Y5T17,,,,,,,,21.5
2018,,F,Y5T17,,,,,,,,19.0
2023,,F,Y5T17,,,,,,,,16.0
2014,,,Y5T17,U,,,,,,,12.3
2018,,,Y5T17,U,,,,,,,11.9
2023,,,Y5T17,U,,,,,,,14.1
2014,,,Y5T17,R,,,,,,,30.9
2018,,,Y5T17,R,,,,,,,33.6
2023,,,Y5T17,R,,,,,,,22.0
2014,KG05,,Y5T17,,,,,,,KG05,27.7
2018,KG05,,Y5T17,,,,,,,KG05,27.7
2023,KG05,,Y5T17,,,,,,,KG05,21.1
2014,KG03,,Y5T17,,,,,,,KG03,21.4
2018,KG03,,Y5T17,,,,,,,KG03,34.0
2023,KG03,,Y5T17,,,,,,,KG03,24.1
2014,KG02,,Y5T17,,,,,,,KG02,15.5
2018,KG02,,Y5T17,,,,,,,KG02,27.0
2023,KG02,,Y5T17,,,,,,,KG02,9.8
2014,KG04,,Y5T17,,,,,,,KG04,20.8
2018,KG04,,Y5T17,,,,,,,KG04,40.5
2023,KG04,,Y5T17,,,,,,,KG04,30.8
2014,KG06,,Y5T17,,,,,,,KG06,34.7
2018,KG06,,Y5T17,,,,,,,KG06,33.3
2023,KG06,,Y5T17,,,,,,,KG06,27.5
2014,KG07,,Y5T17,,,,,,,KG07,22.3
2018,KG07,,Y5T17,,,,,,,KG07,35.1
2023,KG07,,Y5T17,,,,,,,KG07,8.0
2014,KG08,,Y5T17,,,,,,,KG08,42.6
2018,KG08,,Y5T17,,,,,,,KG08,24.5
2023,KG08,,Y5T17,,,,,,,KG08,14.2
2014,KG11,,Y5T17,,,,,,,KG11,4.5
2018,KG11,,Y5T17,,,,,,,KG11,7.3
2023,KG11,,Y5T17,,,,,,,KG11,4.5
2014,KG21,,Y5T17,,,,,,,KG21,12.0
2018,KG21,,Y5T17,,,,,,,KG21,6.1
2023,KG21,,Y5T17,,,,,,,KG21,15.8
2014,,,Y5T11,,,,,,,,24.5
2018,,,Y5T11,,,,,,,,27.9
2023,,,Y5T11,,,,,,,,28.0
2014,,,Y12T14,,,,,,,,25.0
2018,,,Y12T14,,,,,,,,23.3
2023,,,Y12T14,,,,,,,,11.0
2014,,,Y15T17,,,,,,,,30.4
2018,,,Y15T17,,,,,,,,26.6
2023,,,Y15T17,,,,,,,,0.3
2014,,,Y5T17,,,,_L_SCH_ATT,,,,27.5
2018,,,Y5T17,,,,_L_SCH_ATT,,,,27.0
2023,,,Y5T17,,,,_L_SCH_ATT,,,,20.2
2014,,,Y5T17,,,,_L_SCH_NOT_ATT,,,,14.4
2018,,,Y5T17,,,,_L_SCH_NOT_ATT,,,,21.6
2023,,,Y5T17,,,,_L_SCH_NOT_ATT,,,,12.6
2014,,,Y5T17,,,ISCED11_1,,,Образование матери,,36.1
2014,,,Y5T17,,,ISCED11_2,,,Образование матери,,23.7
2018,,,Y5T17,,,ISCED11_2,,,Образование матери,,28.7
2023,,,Y5T17,,,ISCED11_2,,,Образование матери,,19.9
2014,,,Y5T17,,,ISCED11_3,,,Образование матери,,27.4
2018,,,Y5T17,,,ISCED11_3,,,Образование матери,,29.2
2023,,,Y5T17,,,ISCED11_3,,,Образование матери,,21.6
2014,,,Y5T17,,,ISCED11_4,,,Образование матери,,28.3
2018,,,Y5T17,,,ISCED11_4,,,Образование матери,,24.4
2023,,,Y5T17,,,ISCED11_4,,,Образование матери,,21.0
2014,,,Y5T17,,,ISCED11_6_7,,,Образование матери,,18.7
2018,,,Y5T17,,,ISCED11_6_7,,,Образование матери,,23.1
2023,,,Y5T17,,,ISCED11_6_7,,,Образование матери,,15.5
2018,,,Y5T17,,,,,_L_CHD,,,34.9
2023,,,Y5T17,,,,,_L_CHD,,,19.4
2018,,,Y5T17,,,,,_L_CHWD,,,25.9
2023,,,Y5T17,,,,,_L_CHWD,,,19.7
2014,,,Y5T17,,Q1,,,,,,26.3
2018,,,Y5T17,,Q1,,,,,,32.1
2023,,,Y5T17,,Q1,,,,,,26.1
2014,,,Y5T17,,Q2,,,,,,28.8
2018,,,Y5T17,,Q2,,,,,,30.6
2023,,,Y5T17,,Q2,,,,,,23.8
2014,,,Y5T17,,Q3,,,,,,32.9
2018,,,Y5T17,,Q3,,,,,,31.8
2023,,,Y5T17,,Q3,,,,,,20.9
2014,,,Y5T17,,Q4,,,,,,27.1
2018,,,Y5T17,,Q4,,,,,,28.0
2023,,,Y5T17,,Q4,,,,,,16.9
2014,,,Y5T17,,Q5,,,,,,11.0
2018,,,Y5T17,,Q5,,,,,,6.1
2023,,,Y5T17,,Q5,,,,,,8.3
