Year,UNIT_MULT,SDG Series,Unit of measure,Time series-level footnotes,Value
2007,0,Manufacturing value added as a proportion of GDP,Percent,PT,9.9
2008,0,Manufacturing value added as a proportion of GDP,Percent,PT,13.2
2009,0,Manufacturing value added as a proportion of GDP,Percent,PT,14.2
2010,0,Manufacturing value added as a proportion of GDP,Percent,PT,16.9
2011,0,Manufacturing value added as a proportion of GDP,Percent,PT,18.3
2012,0,Manufacturing value added as a proportion of GDP,Percent,PT,12.1
2013,0,Manufacturing value added as a proportion of GDP,Percent,PT,15.8
2014,0,Manufacturing value added as a proportion of GDP,Percent,PT,13.7
2015,0,Manufacturing value added as a proportion of GDP,Percent,PT,14.0
2016,0,Manufacturing value added as a proportion of GDP,Percent,PT,15.4
2017,0,Manufacturing value added as a proportion of GDP,Percent,PT,15.0
2018,0,Manufacturing value added as a proportion of GDP,Percent,PT,14.3
2019,0,Manufacturing value added as a proportion of GDP,Percent,PT,14.7
2020,0,Manufacturing value added as a proportion of GDP,Percent,PT,14.5
2007,3,Manufacturing value added per capita,Local currency,CUR_LCU,2.8
2008,3,Manufacturing value added per capita,Local currency,CUR_LCU,4.9
2009,3,Manufacturing value added per capita,Local currency,CUR_LCU,5.6
2010,3,Manufacturing value added per capita,Local currency,CUR_LCU,7.2
2011,3,Manufacturing value added per capita,Local currency,CUR_LCU,9.9
2012,3,Manufacturing value added per capita,Local currency,CUR_LCU,7.0
2013,3,Manufacturing value added per capita,Local currency,CUR_LCU,10.3
2014,3,Manufacturing value added per capita,Local currency,CUR_LCU,9.8
2015,3,Manufacturing value added per capita,Local currency,CUR_LCU,10.6
2016,3,Manufacturing value added per capita,Local currency,CUR_LCU,12.6
2017,3,Manufacturing value added per capita,Local currency,CUR_LCU,13.4
2018,3,Manufacturing value added per capita,Local currency,CUR_LCU,13.4
2019,3,Manufacturing value added per capita,Local currency,CUR_LCU,14.7
2020,3,Manufacturing value added per capita,Local currency,CUR_LCU,13.8
