Year,SERIES,Value
2015,EN_ATM_CO2,10275.014
2016,EN_ATM_CO2,8840.465
2017,EN_ATM_CO2,9449.068
2018,EN_ATM_CO2,18334.32
2019,EN_ATM_CO2,16586.26
2020,EN_ATM_CO2,16828.16
2021,EN_ATM_CO2,18761.5
2022,EN_ATM_CO2,19075.4
2023,EN_ATM_CO2,19374.16
2015,EN_ATM_CO2GDP,2.386822
2016,EN_ATM_CO2GDP,1.855949
2017,EN_ATM_CO2GDP,1.781244
2018,EN_ATM_CO2GDP,0.0322
2019,EN_ATM_CO2GDP,0.0268
2020,EN_ATM_CO2GDP,0.0278
2021,EN_ATM_CO2GDP,0.0259
2022,EN_ATM_CO2GDP,0.0208
2023,EN_ATM_CO2GDP,0.0158
2015,EN_ATM_CO2MVA,1.560781
2016,EN_ATM_CO2MVA,1.29663
2017,EN_ATM_CO2MVA,1.355711
2018,EN_ATM_CO2MVA,0.2256
2019,EN_ATM_CO2MVA,0.1822
2020,EN_ATM_CO2MVA,0.1935
2021,EN_ATM_CO2MVA,0.196
2022,EN_ATM_CO2MVA,0.1673
