Year,REF_AREA,URBANISATION,COMMENT_OBS,Value
2010,,,,5.343817
2011,,,,4.545729
2012,,,,4.39021
2013,,,,2.752053
2014,,,,1.204544
2015,,,,1.2463
2016,,,,0.799505
2017,,,,0.751264
2018,,,,0.556849
2019,,,,0.549336
2010,,U,,4.216863
2011,,U,,2.571393
2012,,U,,4.245304
2013,,U,,1.622593
2014,,U,,1.335253
2015,,U,,1.0364
2016,,U,,0.329939
2017,,U,,0.317022
2018,,U,,0.240359
2019,,U,,0.1
2010,,R,,5.993092
2011,,R,,5.719532
2012,,R,,4.47404
2013,,R,,3.33877
2014,,R,,1.130705
2015,,R,,1.3613
2016,,R,,1.057232
2017,,R,,0.990494
2018,,R,,0.732878
2019,,R,,0.8
2010,KG05,,,5.18088
2011,KG05,,,3.571253
2012,KG05,,,2.429822
2013,KG05,,,7.992058
2014,KG05,,,2.647398
2015,KG05,,,4.007
2016,KG05,,,0.321124
2017,KG05,,,3.394136
2018,KG05,,,0.873006
2019,KG05,,,0.339267
2010,KG03,,,6.438032
2011,KG03,,,6.655419
2012,KG03,,,14.126083
2013,KG03,,,1.418157
2014,KG03,,,1.062056
2015,KG03,,,0.4774
2016,KG03,,,0.111076
2017,KG03,,,0.0
2018,KG03,,,1.011691
2019,KG03,,,0.56205
2010,KG02,,,2.478727
2011,KG02,,,1.507294
2012,KG02,,,0.131147
2013,KG02,,,1.90587
2014,KG02,,,0.0
2015,KG02,,,0.4111
2016,KG02,,,0.0
2017,KG02,,,1.036888
2018,KG02,,,0.892297
2019,KG02,,,1.260497
2010,KG04,,,12.036462
2011,KG04,,,14.690827
2012,KG04,,,2.457117
2013,KG04,,,4.860417
2014,KG04,,,1.817409
2015,KG04,,,2.0588
2016,KG04,,,2.566585
2017,KG04,,,1.953766
2018,KG04,,,2.178191
2019,KG04,,,2.481629
2010,KG06,,including Osh city,8.333149
2011,KG06,,including Osh city,3.687421
2012,KG06,,including Osh city,2.296706
2013,KG06,,including Osh city,4.01137
2014,KG06,,,0.423402
2015,KG06,,,1.1879
2016,KG06,,,0.828248
2017,KG06,,,0.0
2018,KG06,,,0.0
2019,KG06,,,0.880799
2010,KG07,,,5.012294
2011,KG07,,,8.439018
2012,KG07,,,0.904811
2013,KG07,,,0.0
2014,KG07,,,0.0
2015,KG07,,,0.0
2016,KG07,,,0.0
2017,KG07,,,0.0
2018,KG07,,,0.0
2019,KG07,,,0.0
2010,KG08,,,3.535313
2011,KG08,,,4.859951
2012,KG08,,,3.894563
2013,KG08,,,2.081097
2014,KG08,,,3.192789
2015,KG08,,,1.6887
2016,KG08,,,3.126337
2017,KG08,,,1.687071
2018,KG08,,,0.324149
2019,KG08,,,0.162602
2010,KG11,,,0.530925
2011,KG11,,,1.019328
2012,KG11,,,1.168471
2013,KG11,,,0.960053
2014,KG11,,,0.0
2015,KG11,,,0.7844
2016,KG11,,,0.0
2017,KG11,,,0.0
2018,KG11,,,0.328121
2019,KG11,,,0.0
2013,KG21,,,3.507063
2014,KG21,,,3.102029
2015,KG21,,,1.7009
2016,KG21,,,0.0
2017,KG21,,,1.181299
2018,KG21,,,0.556108
2019,KG21,,,0.0
