Year,SEX,AGE,URBANISATION,ACTIVITY,Value
2015,,,,,22.971916
2016,,,,,18.3
2017,,,,,18.0
2018,,,,,15.5
2019,,,,,13.2
2015,M,,,,24.625381
2016,M,,,,19.7
2017,M,,,,20.0
2018,M,,,,16.6
2019,M,,,,14.9
2015,F,,,,20.568799
2016,F,,,,16.0
2017,F,,,,14.8
2018,F,,,,13.6
2019,F,,,,10.5
2015,,Y15T19,,,23.727492
2016,,Y15T19,,,18.981762
2017,,Y15T19,,,14.748617
2018,,Y15T19,,,12.569312
2019,,Y15T19,,,6.6
2015,,Y20T24,,,19.900404
2016,,Y20T24,,,18.030501
2017,,Y20T24,,,13.948053
2018,,Y20T24,,,10.713886
2019,,Y20T24,,,8.1
2015,,Y25T29,,,20.936837
2016,,Y25T29,,,17.480642
2017,,Y25T29,,,18.451453
2018,,Y25T29,,,15.81122
2019,,Y25T29,,,11.1
2015,,Y30T34,,,31.941974
2016,,Y30T34,,,22.514499
2017,,Y30T34,,,22.859646
2018,,Y30T34,,,18.364477
2019,,Y30T34,,,17.1
2015,,Y35T39,,,33.358438
2016,,Y35T39,,,27.556783
2017,,Y35T39,,,26.449237
2018,,Y35T39,,,23.421118
2019,,Y35T39,,,25.0
2015,,Y40T44,,,27.540969
2016,,Y40T44,,,20.070139
2017,,Y40T44,,,21.848723
2018,,Y40T44,,,18.519254
2019,,Y40T44,,,16.1
2015,,Y45T49,,,20.291457
2016,,Y45T49,,,15.102517
2017,,Y45T49,,,15.28059
2018,,Y45T49,,,13.51728
2019,,Y45T49,,,11.1
2015,,Y50T54,,,12.36359
2016,,Y50T54,,,11.302524
2017,,Y50T54,,,10.786084
2018,,Y50T54,,,12.477862
2019,,Y50T54,,,8.6
2015,,Y55T59,,,11.393416
2016,,Y55T59,,,8.398371
2017,,Y55T59,,,10.344861
2018,,Y55T59,,,9.489257
2019,,Y55T59,,,7.9
2015,,Y60T64,,,9.437077
2016,,Y60T64,,,14.236349
2017,,Y60T64,,,14.339166
2018,,Y60T64,,,11.956667
2019,,Y60T64,,,8.8
2015,,Y65T69,,,5.348356
2016,,Y65T69,,,7.617625
2017,,Y65T69,,,6.152168
2018,,Y65T69,,,4.775939
2019,,Y65T69,,,4.2
2015,,Y_GE70,,,4.324812
