Year,Series,Value
2007,CL_SERIES._L_KG_010301_1C6,10.1
2008,CL_SERIES._L_KG_010301_1C6,10.6
2009,CL_SERIES._L_KG_010301_1C6,10.527481
2010,CL_SERIES._L_KG_010301_1C6,10.608791
2011,CL_SERIES._L_KG_010301_1C6,10.838101
2012,CL_SERIES._L_KG_010301_1C6,11.043937
2013,CL_SERIES._L_KG_010301_1C6,10.825698
2014,CL_SERIES._L_KG_010301_1C6,10.759191
2015,CL_SERIES._L_KG_010301_1C6,10.746011
2016,CL_SERIES._L_KG_010301_1C6,10.768411
2017,CL_SERIES._L_KG_010301_1C6,10.760094
2018,CL_SERIES._L_KG_010301_1C6,10.874701
2019,CL_SERIES._L_KG_010301_1C6,10.95936
2007,CL_SERIES._L_KG_010301_1C2,8.277782
2008,CL_SERIES._L_KG_010301_1C2,6.836681
2009,CL_SERIES._L_KG_010301_1C2,6.9150160000000005
2010,CL_SERIES._L_KG_010301_1C2,6.6
2011,CL_SERIES._L_KG_010301_1C2,6.879721000000001
2012,CL_SERIES._L_KG_010301_1C2,6.187625
2013,CL_SERIES._L_KG_010301_1C2,5.8
2014,CL_SERIES._L_KG_010301_1C2,5.3
2015,CL_SERIES._L_KG_010301_1C2,5.1
2016,CL_SERIES._L_KG_010301_1C2,4.5
2017,CL_SERIES._L_KG_010301_1C2,4.7
2018,CL_SERIES._L_KG_010301_1C2,4.5
2019,CL_SERIES._L_KG_010301_1C2,4.7
2007,CL_SERIES._L_KG_010301_1C4,1.124026
2008,CL_SERIES._L_KG_010301_1C4,1.1507020000000001
2009,CL_SERIES._L_KG_010301_1C4,1.176048
2010,CL_SERIES._L_KG_010301_1C4,1.2
2011,CL_SERIES._L_KG_010301_1C4,1.287183
2012,CL_SERIES._L_KG_010301_1C4,1.283635
2013,CL_SERIES._L_KG_010301_1C4,1.3
2014,CL_SERIES._L_KG_010301_1C4,1.3
2015,CL_SERIES._L_KG_010301_1C4,1.3
2016,CL_SERIES._L_KG_010301_1C4,1.4
2017,CL_SERIES._L_KG_010301_1C4,1.4
2018,CL_SERIES._L_KG_010301_1C4,1.4
2019,CL_SERIES._L_KG_010301_1C4,1.4
