Year,COMPOSITE_BREAKDOWN,Value
2013,_L_COFOG_GF042,488.2
2014,_L_COFOG_GF042,521.3
2015,_L_COFOG_GF042,758.0
2016,_L_COFOG_GF042,1034.8
2017,_L_COFOG_GF042,1569.2
2018,_L_COFOG_GF042,2283.9
2019,_L_COFOG_GF042,1778.1
2020,_L_COFOG_GF042,1333.83
2021,_L_COFOG_GF042,1221.02
2022,_L_COFOG_GF042,1497.61
2023,_L_COFOG_GF042,1143.6
2013,_L_COFOG_GF045,4295.0
2014,_L_COFOG_GF045,9576.3
2015,_L_COFOG_GF045,7552.8
2016,_L_COFOG_GF045,10221.8
2017,_L_COFOG_GF045,14436.4
2018,_L_COFOG_GF045,5471.0
2019,_L_COFOG_GF045,7926.56
2020,_L_COFOG_GF045,4294.3
2021,_L_COFOG_GF045,7544.6
2022,_L_COFOG_GF045,12582.13
2023,_L_COFOG_GF045,9428.8
2013,_L_COFOG_GF043,9828.6
2014,_L_COFOG_GF043,11570.1
2015,_L_COFOG_GF043,1603.2
2016,_L_COFOG_GF043,10411.7
2017,_L_COFOG_GF043,8104.8
2018,_L_COFOG_GF043,3356.2
2019,_L_COFOG_GF043,4979.56
2020,_L_COFOG_GF043,3625.55
2021,_L_COFOG_GF043,8224.07
2022,_L_COFOG_GF043,6466.32
2023,_L_COFOG_GF043,8877.5
2013,_L_COFOG_GF07,129.8
2014,_L_COFOG_GF07,64.0
2015,_L_COFOG_GF07,77.7
2016,_L_COFOG_GF07,77.2
2017,_L_COFOG_GF07,383.9
2018,_L_COFOG_GF07,351.7
2019,_L_COFOG_GF07,123.42
2020,_L_COFOG_GF07,1187.05
2021,_L_COFOG_GF07,1833.14
2022,_L_COFOG_GF07,1609.9
2023,_L_COFOG_GF07,1236.6
2013,_L_COFOG_GF09,118.8
2014,_L_COFOG_GF09,224.9
2015,_L_COFOG_GF09,409.5
2016,_L_COFOG_GF09,555.7
2017,_L_COFOG_GF09,1129.0
2018,_L_COFOG_GF09,1129.2
2019,_L_COFOG_GF09,337.39
2020,_L_COFOG_GF09,190.48
2021,_L_COFOG_GF09,544.2
2022,_L_COFOG_GF09,1684.44
2023,_L_COFOG_GF09,1568.5
2013,_L_COFOG_GF01,92.0
2014,_L_COFOG_GF01,55.1
2015,_L_COFOG_GF01,38.0
2016,_L_COFOG_GF01,140.4
2017,_L_COFOG_GF01,141.7
2018,_L_COFOG_GF01,46.7
2019,_L_COFOG_GF01,38.66
2020,_L_COFOG_GF01,108.18
2021,_L_COFOG_GF01,195.87
2022,_L_COFOG_GF01,244.38
2023,_L_COFOG_GF01,575.5
2013,_L_COFOG_GF063,887.8
2014,_L_COFOG_GF063,1398.3
2015,_L_COFOG_GF063,1393.5
2016,_L_COFOG_GF063,1602.5
2017,_L_COFOG_GF063,2023.3
