Year,COMPOSITE_BREAKDOWN,Value
2013,_L_WR_GAR_CH,0.3
2014,_L_WR_GAR_CH,0.2
2015,_L_WR_GAR_CH,0.1
2016,_L_WR_GAR_CH,0.1
2017,_L_WR_GAR_CH,0.1
2018,_L_WR_GAR_CH,0.1
2019,_L_WR_GAR_CH,0.0
2013,_L_WR_COL_TR,26.9
2014,_L_WR_COL_TR,27.7
2015,_L_WR_COL_TR,30.6
2016,_L_WR_COL_TR,31.3
2017,_L_WR_COL_TR,38.8
2018,_L_WR_COL_TR,44.0
2019,_L_WR_COL_TR,46.9
2013,_L_WR_DUM_GAR,21.6
2014,_L_WR_DUM_GAR,23.4
2015,_L_WR_DUM_GAR,29.0
2016,_L_WR_DUM_GAR,22.4
2017,_L_WR_DUM_GAR,21.8
2018,_L_WR_DUM_GAR,20.2
2019,_L_WR_DUM_GAR,20.2
2013,_L_WR_BURN,33.0
2014,_L_WR_BURN,31.8
2015,_L_WR_BURN,29.8
2016,_L_WR_BURN,32.9
2017,_L_WR_BURN,28.6
2018,_L_WR_BURN,25.6
2019,_L_WR_BURN,24.0
2013,_L_WR_BURYING,18.2
2014,_L_WR_BURYING,16.9
2015,_L_WR_BURYING,10.6
2016,_L_WR_BURYING,13.4
2017,_L_WR_BURYING,10.9
2018,_L_WR_BURYING,10.0
2019,_L_WR_BURYING,8.9
