Year,REF_AREA,Value
2012,,5.58
2013,,5.58
2014,,5.67
2015,,5.67
2016,,5.67
2017,,5.58
2018,,5.6
2019,,5.6
2020,,5.6
2012,KG05,0.8
2013,KG05,0.8
2014,KG05,0.8
2015,KG05,0.8
2016,KG05,0.8
2017,KG05,0.8
2018,KG05,0.8
2019,KG05,0.8
2020,KG05,0.8
2012,KG03,1.9
2013,KG03,1.9
2014,KG03,1.9
2015,KG03,1.69
2016,KG03,1.69
2017,KG03,1.9
2018,KG03,1.9
2019,KG03,1.9
2020,KG03,1.9
2012,KG02,0.7
2013,KG02,0.7
2014,KG02,0.7
2015,KG02,0.7
2016,KG02,0.7
2017,KG02,0.7
2018,KG02,0.7
2019,KG02,0.7
2020,KG02,0.7
2012,KG04,0.7
2013,KG04,0.7
2014,KG04,0.7
2015,KG04,0.67
2016,KG04,0.67
2017,KG04,0.68
2018,KG04,0.7
2019,KG04,0.7
2020,KG04,0.7
2012,KG06,0.9
2013,KG06,0.9
2014,KG06,0.96
2015,KG06,0.97
2016,KG06,0.97
2017,KG06,0.9
2018,KG06,0.9
2019,KG06,0.9
2020,KG06,0.9
2012,KG07,0.3
2013,KG07,0.3
2014,KG07,0.3
2015,KG07,0.3
2016,KG07,0.3
2017,KG07,0.3
2018,KG07,0.3
2019,KG07,0.3
2020,KG07,0.3
2012,KG08,0.2
2013,KG08,0.2
2014,KG08,0.2
2015,KG08,0.2
2016,KG08,0.2
2017,KG08,0.2
2018,KG08,0.2
2019,KG08,0.2
2020,KG08,0.2
