Year,SERIES,COMPOSITE_BREAKDOWN,Value
2015,_L_KG_150301_1B,,12806
2016,_L_KG_150301_1B,,12806
2017,_L_KG_150301_1B,,12879
2018,_L_KG_150301_1B,,12878
2019,_L_KG_150301_1B,,12876
2020,_L_KG_150301_1B,,12874
2021,_L_KG_150301_1B,,12873
2022,_L_KG_150301_1B,,12864
2023,_L_KG_150301_1B,,12860
2024,_L_KG_150301_1B,,12871
2015,_L_KG_150301_1A,,900
2016,_L_KG_150301_1A,,811
2017,_L_KG_150301_1A,,740
2018,_L_KG_150301_1A,,665
2019,_L_KG_150301_1A,,625
2020,_L_KG_150301_1A,,558
2021,_L_KG_150301_1A,,529
2022,_L_KG_150301_1A,,488
2023,_L_KG_150301_1A,,426
2024,_L_KG_150301_1A,,390
2015,_L_KG_150301_1A,_L_CSE_SALIN_WAT,50
2016,_L_KG_150301_1A,_L_CSE_SALIN_WAT,458720
2017,_L_KG_150301_1A,_L_CSE_SALIN_WAT,457190
2018,_L_KG_150301_1A,_L_CSE_SALIN_WAT,456600
2019,_L_KG_150301_1A,_L_CSE_SALIN_WAT,458710
2020,_L_KG_150301_1A,_L_CSE_SALIN_WAT,457790
2021,_L_KG_150301_1A,_L_CSE_SALIN_WAT,456900
2022,_L_KG_150301_1A,_L_CSE_SALIN_WAT,458390
2023,_L_KG_150301_1A,_L_CSE_SALIN_WAT,458390
2024,_L_KG_150301_1A,_L_CSE_SALIN_WAT,457780
2015,_L_KG_150301_1A,_L_CSE_LACK_IRR,458820
2016,_L_KG_150301_1A,_L_CSE_LACK_IRR,458820
2017,_L_KG_150301_1A,_L_CSE_LACK_IRR,458490
2018,_L_KG_150301_1A,_L_CSE_LACK_IRR,458190
2019,_L_KG_150301_1A,_L_CSE_LACK_IRR,456680
2020,_L_KG_150301_1A,_L_CSE_LACK_IRR,457250
2021,_L_KG_150301_1A,_L_CSE_LACK_IRR,457550
2022,_L_KG_150301_1A,_L_CSE_LACK_IRR,457540
2023,_L_KG_150301_1A,_L_CSE_LACK_IRR,458140
2024,_L_KG_150301_1A,_L_CSE_LACK_IRR,458440
2015,_L_KG_150301_1A,_L_CSE_NAT_DIS,4
2016,_L_KG_150301_1A,_L_CSE_NAT_DIS,4
2017,_L_KG_150301_1A,_L_CSE_NAT_DIS,10
2018,_L_KG_150301_1A,_L_CSE_NAT_DIS,457780
2019,_L_KG_150301_1A,_L_CSE_NAT_DIS,5
2020,_L_KG_150301_1A,_L_CSE_NAT_DIS,9
2021,_L_KG_150301_1A,_L_CSE_NAT_DIS,10
2022,_L_KG_150301_1A,_L_CSE_NAT_DIS,7
2023,_L_KG_150301_1A,_L_CSE_NAT_DIS,4
2024,_L_KG_150301_1A,_L_CSE_NAT_DIS,4
2015,_L_KG_150301_1A,_L_CSE_SEV_RAIN,444
2016,_L_KG_150301_1A,_L_CSE_SEV_RAIN,401
2017,_L_KG_150301_1A,_L_CSE_SEV_RAIN,364
2018,_L_KG_150301_1A,_L_CSE_SEV_RAIN,314
2019,_L_KG_150301_1A,_L_CSE_SEV_RAIN,458690
2020,_L_KG_150301_1A,_L_CSE_SEV_RAIN,457150
2021,_L_KG_150301_1A,_L_CSE_SEV_RAIN,457140
2022,_L_KG_150301_1A,_L_CSE_SEV_RAIN,220
2023,_L_KG_150301_1A,_L_CSE_SEV_RAIN,457350
2024,_L_KG_150301_1A,_L_CSE_SEV_RAIN,458260
2015,_L_KG_150301_1A,_L_CSE_REM_STON,457930
2016,_L_KG_150301_1A,_L_CSE_REM_STON,456720
2017,_L_KG_150301_1A,_L_CSE_REM_STON,458510
2018,_L_KG_150301_1A,_L_CSE_REM_STON,459110
2019,_L_KG_150301_1A,_L_CSE_REM_STON,456980
2020,_L_KG_150301_1A,_L_CSE_REM_STON,457560
2021,_L_KG_150301_1A,_L_CSE_REM_STON,457550
2022,_L_KG_150301_1A,_L_CSE_REM_STON,456640
2023,_L_KG_150301_1A,_L_CSE_REM_STON,457220
2024,_L_KG_150301_1A,_L_CSE_REM_STON,457210
2015,_L_KG_150301_1A,_L_CSE_OTH_REAS,459090
2016,_L_KG_150301_1A,_L_CSE_OTH_REAS,459070
2017,_L_KG_150301_1A,_L_CSE_OTH_REAS,459070
2018,_L_KG_150301_1A,_L_CSE_OTH_REAS,70
2019,_L_KG_150301_1A,_L_CSE_OTH_REAS,456940
2020,_L_KG_150301_1A,_L_CSE_OTH_REAS,457830
2021,_L_KG_150301_1A,_L_CSE_OTH_REAS,458440
2022,_L_KG_150301_1A,_L_CSE_OTH_REAS,458780
2023,_L_KG_150301_1A,_L_CSE_OTH_REAS,456960
2024,_L_KG_150301_1A,_L_CSE_OTH_REAS,457830
