Year,Series,concept.REF_AREA,Units,Value
2014,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,4.535563
2015,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,4.4443980000000005
2016,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,3.472061
2017,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,3.778379
2018,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,3.132627
2019,CL_SERIES.VC_IHR_PSRC,,CL_UNIT_MEASURE.PER_100000_POP,2.575293
2014,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,262.0
2015,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,262.0
2016,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,209.0
2017,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,232.0
2018,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,196.0
2019,CL_SERIES.VC_IHR_PSRCN,,CL_UNIT_MEASURE.NUMBER,168.0
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.87232
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.624056
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.588834
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,1.168242
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,2.28517
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG05,CL_UNIT_MEASURE.PER_100000_POP,2.047026
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,9.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,8.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,8.0
2017,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,6.0
2018,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,12.0
2019,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG05,CL_UNIT_MEASURE.NUMBER,11.0
2014,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,3.5637980000000002
2015,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.965496
2016,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,2.4813240000000003
2017,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.9318330000000001
2018,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.8115450000000002
2019,CL_SERIES.VC_IHR_PSRC,CL_AREA.KG03,CL_UNIT_MEASURE.PER_100000_POP,1.9374369999999999
2014,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG03,CL_UNIT_MEASURE.NUMBER,40.0
2015,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG03,CL_UNIT_MEASURE.NUMBER,34.0
2016,CL_SERIES.VC_IHR_PSRCN,CL_AREA.KG03,CL_UNIT_MEASURE.NUMBER,29.0
