Year,concept.REF_AREA,concept.SEX,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Value
2018,,,,,,,57.9
2019,,,,,,,64.4
2018,,,,CL_URBANISATION.U,,,50.7
2019,,,,CL_URBANISATION.U,,,59.6
2018,,,,CL_URBANISATION.R,,,62.8
2019,,,,CL_URBANISATION.R,,,67.5
2018,,CL_SEX.M,,,,,67.4
2019,,CL_SEX.M,,,,,72.7
2018,,CL_SEX.F,,,,,44.7
2019,,CL_SEX.F,,,,,52.5
2018,CL_AREA.KG05,,,,,,63.7
2019,CL_AREA.KG05,,,,,,71.6
2018,CL_AREA.KG03,,,,,,46.2
2019,CL_AREA.KG03,,,,,,54.2
2018,CL_AREA.KG02,,,,,,69.3
2019,CL_AREA.KG02,,,,,,72.7
2018,CL_AREA.KG04,,,,,,71.9
2019,CL_AREA.KG04,,,,,,78.3
2018,CL_AREA.KG06,,,,,,70.4
2019,CL_AREA.KG06,,,,,,73.8
2018,CL_AREA.KG07,,,,,,73.3
2019,CL_AREA.KG07,,,,,,88.2
2018,CL_AREA.KG08,,,,,,69.3
2019,CL_AREA.KG08,,,,,,65.7
2018,CL_AREA.KG11,,,,,,31.2
2019,CL_AREA.KG11,,,,,,45.0
2018,CL_AREA.KG21,,,,,,86.7
2019,CL_AREA.KG21,,,,,,98.7
2018,,,CL_AGE.Y15T28,,,,56.6
2019,,,CL_AGE.Y15T28,,,,61.8
2018,,,CL_AGE.Y29T62,,,,59.4
2019,,,CL_AGE.Y29T62,,,,66.2
2018,,,CL_AGE.Y_GE58,,,,54.1
2019,,,CL_AGE.Y_GE58,,,,61.9
2018,,,,,,CL_EDUCATION_LEV.ISCED11_1,58.8
2019,,,,,,CL_EDUCATION_LEV.ISCED11_1,63.7
2018,,,,,,CL_EDUCATION_LEV.ISCED11_2,63.3
2019,,,,,,CL_EDUCATION_LEV.ISCED11_2,65.2
2018,,,,,,CL_EDUCATION_LEV.ISCED11_3,57.7
2019,,,,,,CL_EDUCATION_LEV.ISCED11_3,62.8
2018,,,,,,CL_EDUCATION_LEV.ISCED11_4,59.7
2019,,,,,,CL_EDUCATION_LEV.ISCED11_4,68.1
2018,,,,,,CL_EDUCATION_LEV.ISCED11_6_7,53.7
2019,,,,,,CL_EDUCATION_LEV.ISCED11_6_7,64.5
2018,,,,,CL_QUANTILE.Q1,,52.4
2019,,,,,CL_QUANTILE.Q1,,55.4
2018,,,,,CL_QUANTILE.Q2,,58.1
2019,,,,,CL_QUANTILE.Q2,,63.2
2018,,,,,CL_QUANTILE.Q3,,57.9
2019,,,,,CL_QUANTILE.Q3,,65.8
2018,,,,,CL_QUANTILE.Q4,,60.9
2019,,,,,CL_QUANTILE.Q4,,69.9
2018,,,,,CL_QUANTILE.Q5,,59.2
2019,,,,,CL_QUANTILE.Q5,,65.7
