Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,DISABILITY_STATUS,Value
2014,,,,,,,57.1
2018,,,,,,,74.3
2014,,M,,,,,59.9
2018,,M,,,,,75.5
2014,,F,,,,,54.4
2018,,F,,,,,73.0
2014,,,,U,,,60.0
2018,,,,U,,,76.9
2014,,,,R,,,56.0
2018,,,,R,,,73.1
2014,KG05,,,,,,49.4
2018,KG05,,,,,,46.8
2014,KG03,,,,,,42.9
2018,KG03,,,,,,65.5
2014,KG02,,,,,,48.2
2018,KG02,,,,,,80.9
2014,KG04,,,,,,58.0
2018,KG04,,,,,,74.0
2014,KG06,,,,,,57.8
2018,KG06,,,,,,74.4
2014,KG07,,,,,,71.1
2018,KG07,,,,,,79.9
2014,KG08,,,,,,66.8
2018,KG08,,,,,,83.5
2014,KG11,,,,,,70.3
2018,KG11,,,,,,80.5
2014,KG21,,,,,,71.1
2018,KG21,,,,,,85.6
2014,,,Y1T2,,,,45.5
2018,,,Y1T2,,,,55.3
2014,,,Y3T4,,,,67.1
2018,,,Y3T4,,,,71.2
2014,,,Y5T9,,,,61.9
2018,,,Y5T9,,,,79.4
2014,,,Y10T14,,,,52.7
2018,,,Y10T14,,,,78.8
2018,,,,,,_L_CHD,83.7
2018,,,,,,_L_CHWD,75.6
2018,,,,,,_L_MD,92.4
2018,,,,,,_L_MWD,74.4
2018,,,,,,_U,69.8
2014,,,,,Q1,,55.1
2018,,,,,Q1,,70.9
2014,,,,,Q2,,58.1
2018,,,,,Q2,,70.6
2014,,,,,Q3,,54.7
2018,,,,,Q3,,73.1
2014,,,,,Q4,,56.5
2018,,,,,Q4,,81.4
2014,,,,,Q5,,62.5
2018,,,,,Q5,,77.4
