Year,FREQ,REF_AREA,Value
2015,A,,235
2016,A,,285
2017,A,,311
2018,A,,273
2019,S,,273
2015,A,KG05,294
2016,A,KG05,479
2017,A,KG05,462
2018,A,KG05,426
2019,S,KG05,400
2015,A,KG11,436
2016,A,KG11,372
2017,A,KG11,354
2018,A,KG11,327
2019,S,KG11,360
2015,A,KG08,-15
2016,A,KG08,166
2017,A,KG08,295
2018,A,KG08,195
2019,S,KG08,252
2015,A,KG02,206
2016,A,KG02,199
2017,A,KG02,285
2018,A,KG02,307
2019,S,KG02,375
2015,A,KG03,343
2016,A,KG03,309
2017,A,KG03,327
2018,A,KG03,279
2019,S,KG03,307
2015,A,KG04,364
2016,A,KG04,341
2017,A,KG04,312
2018,A,KG04,341
2019,S,KG04,355
2015,A,KG06,314
2016,A,KG06,256
2017,A,KG06,385
2018,A,KG06,355
2019,S,KG06,325
2015,A,KG21,96
2016,A,KG21,126
2017,A,KG21,163
2018,A,KG21,129
2019,S,KG21,113
2015,A,KG07,169
2016,A,KG07,408
2017,A,KG07,429
2018,A,KG07,383
2019,S,KG07,366
