Year,concept.REF_AREA,concept.AGE,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,concept.DISABILITY_STATUS,Value
2018,,,,,,,7.7
2018,,,CL_URBANISATION.U,,,,7.9
2018,,,CL_URBANISATION.R,,,,7.6
2018,CL_AREA.KG05,,,,,,0.4
2018,CL_AREA.KG03,,,,,,7.3
2018,CL_AREA.KG02,,,,,,1.7
2018,CL_AREA.KG04,,,,,,2.8
2018,CL_AREA.KG06,,,,,,6.5
2018,CL_AREA.KG07,,,,,,5.0
2018,CL_AREA.KG08,,,,,,16.6
2018,CL_AREA.KG11,,,,,,8.7
2018,CL_AREA.KG21,,,,,,7.0
2018,,CL_AGE.Y15T19,,,,,6.5
2018,,CL_AGE.Y15T17,,,,,5.7
2018,,CL_AGE.Y18T19,,,,,8.3
2018,,CL_AGE.Y20T24,,,,,9.1
2018,,CL_AGE.Y25T29,,,,,7.1
2018,,CL_AGE.Y30T34,,,,,8.8
2018,,CL_AGE.Y35T39,,,,,8.7
2018,,CL_AGE.Y40T44,,,,,6.4
2018,,CL_AGE.Y45T49,,,,,7.0
2018,,,,,CL_EDUCATION_LEV.ISCED11_0,,
2018,,,,,CL_EDUCATION_LEV.ISCED11_2,,14.0
2018,,,,,CL_EDUCATION_LEV.ISCED11_3,,5.9
2018,,,,,CL_EDUCATION_LEV.ISCED11_4,,6.9
2018,,,,,CL_EDUCATION_LEV.ISCED11_6_7,,8.2
2018,,,,,,CL_DISABILITY.PD,20.7
2018,,,,,,CL_DISABILITY.PWD,7.6
2018,,,,CL_QUANTILE.Q1,,,6.0
2018,,,,CL_QUANTILE.Q2,,,6.7
2018,,,,CL_QUANTILE.Q3,,,9.7
2018,,,,CL_QUANTILE.Q4,,,7.1
2018,,,,CL_QUANTILE.Q5,,,8.8
