Year,REF_AREA,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,DISABILITY_STATUS,Value
2018,,Y15T49,,,,,7.7
2018,,Y15T49,U,,,,7.9
2018,,Y15T49,R,,,,7.6
2018,KG05,Y15T49,,,,,0.4
2018,KG03,Y15T49,,,,,7.3
2018,KG02,Y15T49,,,,,1.7
2018,KG04,Y15T49,,,,,2.8
2018,KG06,Y15T49,,,,,6.5
2018,KG07,Y15T49,,,,,50.0
2018,KG08,Y15T49,,,,,16.6
2018,KG11,Y15T49,,,,,8.7
2018,KG21,Y15T49,,,,,70.0
2018,,Y15T19,,,,,6.5
2018,,Y15T17,,,,,5.7
2018,,Y18T19,,,,,8.3
2018,,Y20T24,,,,,9.1
2018,,Y25T29,,,,,7.1
2018,,Y30T34,,,,,8.8
2018,,Y35T39,,,,,8.7
2018,,Y40T44,,,,,6.4
2018,,Y45T49,,,,,70.0
2018,,Y15T49,,,ISCED11_1,,140.0
2018,,Y15T49,,,ISCED11_2,,59.0
2018,,Y15T49,,,ISCED11_3,,69.0
2018,,Y15T49,,,ISCED11_4,,82.0
2018,,Y18T49,,,,PD,207.0
2018,,Y18T49,,,,PWD,76.0
2018,,Y15T49,,Q1,,,60.0
2018,,Y15T49,,Q2,,,67.0
2018,,Y15T49,,Q3,,,97.0
2018,,Y15T49,,Q4,,,71.0
2018,,Y15T49,,Q5,,,88.0
