Year,PRODUCT,Value
2019,,0.088191
2020,,0.190134
2021,,0.454951
2022,,4.922975
2023,,4.148043
2019,_L_COMP_PER_EQUIP,0.038998
2020,_L_COMP_PER_EQUIP,0.140925
2021,_L_COMP_PER_EQUIP,0.228917
2022,_L_COMP_PER_EQUIP,0.522833
2023,_L_COMP_PER_EQUIP,0.500646
2019,_L_COMM_EQUIP,0.028381
2020,_L_COMM_EQUIP,0.027425
2021,_L_COMM_EQUIP,0.037714
2022,_L_COMM_EQUIP,3.736535
2023,_L_COMM_EQUIP,2.791497
2019,_L_COMM_ELECT,0.017069
2020,_L_COMM_ELECT,0.004369
2021,_L_COMM_ELECT,0.164215
2022,_L_COMM_ELECT,0.55267
2023,_L_COMM_ELECT,0.224826
2019,_L_OTHER_ELECT_COMP,0.003744
2020,_L_OTHER_ELECT_COMP,0.017414
2021,_L_OTHER_ELECT_COMP,0.024106
2022,_L_OTHER_ELECT_COMP,0.110938
2023,_L_OTHER_ELECT_COMP,0.631074
