Year,ACTIVITY,Value
2008,,866200.6
2009,,660949.3
2010,,666086.0
2011,,849201.1
2012,,590733.3
2013,,964507.1
2014,,727091.2
2015,,1573243.7
2016,,813960.7
2017,,616793.1
2018,,851743.6
2019,,1076918.7
2008,ISIC4_A,583.5904
2009,ISIC4_A,17.6
2010,ISIC4_A,2.7
2011,ISIC4_A,3.5
2012,ISIC4_A,2045.7
2013,ISIC4_A,345.0
2015,ISIC4_A,316.2
2016,ISIC4_A,210.9
2017,ISIC4_A,21.8
2018,ISIC4_A,2327.6
2019,ISIC4_A,149.1
2008,ISIC4_B,7500.0
2009,ISIC4_B,6375.7
2010,ISIC4_B,1028.4
2011,ISIC4_B,26460.8
2012,ISIC4_B,25677.7
2013,ISIC4_B,23151.8
2014,ISIC4_B,74973.3
2015,ISIC4_B,14727.5
2016,ISIC4_B,54302.3
2017,ISIC4_B,80995.2
2018,ISIC4_B,91845.7
2019,ISIC4_B,99480.9
2008,ISIC4_C,237437.7
2009,ISIC4_C,153569.3
2010,ISIC4_C,331386.7
2011,ISIC4_C,489551.4
2012,ISIC4_C,257259.1
2013,ISIC4_C,317742.6
2014,ISIC4_C,271250.0
2015,ISIC4_C,564715.3
2016,ISIC4_C,251234.3
2017,ISIC4_C,186333.7
2018,ISIC4_C,376441.7
2019,ISIC4_C,340804.6
2010,ISIC4_D,20.5
2012,ISIC4_D,15.1
2013,ISIC4_D,16200.5
2014,ISIC4_D,43580.9
2015,ISIC4_D,136704.8
2016,ISIC4_D,122246.9
2017,ISIC4_D,79828.6
2018,ISIC4_D,15830.6
2019,ISIC4_D,10595.7
2008,ISIC4_E,1282.893
2009,ISIC4_E,311.0
2010,ISIC4_E,17.0
2011,ISIC4_E,23.9
2012,ISIC4_E,29.6
2013,ISIC4_E,158.6
2014,ISIC4_E,31.5
2018,ISIC4_E,3.8
2019,ISIC4_E,9.7
2008,ISIC4_F,48949.5
2009,ISIC4_F,21396.9
2010,ISIC4_F,12908.2
2011,ISIC4_F,6404.9
2012,ISIC4_F,27832.6
2013,ISIC4_F,15504.6
2014,ISIC4_F,20045.5
2015,ISIC4_F,107007.6
2016,ISIC4_F,25385.8
2017,ISIC4_F,3070.6
2018,ISIC4_F,71859.5
2019,ISIC4_F,56015.7
2008,ISIC4_G,56200.3
2009,ISIC4_G,52960.3
2010,ISIC4_G,53484.3
2011,ISIC4_G,64982.6
2012,ISIC4_G,32625.9
2013,ISIC4_G,66575.3
2014,ISIC4_G,37620.0
2015,ISIC4_G,64832.3
2016,ISIC4_G,13231.0
2017,ISIC4_G,30550.6
2018,ISIC4_G,34533.2
2019,ISIC4_G,36144.1
2008,ISIC4_H,15126.3
2009,ISIC4_H,8775.8
2010,ISIC4_H,12167.0
2011,ISIC4_H,36623.8
2012,ISIC4_H,6449.1
2013,ISIC4_H,10062.1
2014,ISIC4_H,6042.6
2015,ISIC4_H,2551.5
2016,ISIC4_H,18.2
2017,ISIC4_H,104.8
2018,ISIC4_H,8726.8
2019,ISIC4_H,18535.7
2008,ISIC4_I,2386.663
2009,ISIC4_I,4782.8
2010,ISIC4_I,8158.1
2011,ISIC4_I,4010.7
2012,ISIC4_I,1759.8
2013,ISIC4_I,473.6
2014,ISIC4_I,219.3
2015,ISIC4_I,38.4
2016,ISIC4_I,2102.5
2017,ISIC4_I,2624.7
2018,ISIC4_I,638.2
2019,ISIC4_I,832.8
2008,ISIC4_J,2449.8
2009,ISIC4_J,13580.1
2010,ISIC4_J,922.5
2011,ISIC4_J,3243.4
2012,ISIC4_J,2642.0
2013,ISIC4_J,3235.3
2014,ISIC4_J,13168.7
2015,ISIC4_J,5699.3
2016,ISIC4_J,1251.0
2017,ISIC4_J,14422.4
2018,ISIC4_J,52603.8
2019,ISIC4_J,138479.6
2008,ISIC4_K,347140.389
2009,ISIC4_K,250155.9
2010,ISIC4_K,34882.2
2011,ISIC4_K,48145.0
2012,ISIC4_K,42233.9
2013,ISIC4_K,99847.3
2014,ISIC4_K,28495.0
2015,ISIC4_K,411883.8
2016,ISIC4_K,178724.5
2017,ISIC4_K,81475.8
2018,ISIC4_K,53939.5
2019,ISIC4_K,62669.5
2010,ISIC4_L,314.1
2011,ISIC4_L,241.2
2012,ISIC4_L,3961.3
2013,ISIC4_L,2567.9
2014,ISIC4_L,3071.3
2015,ISIC4_L,2845.7
2016,ISIC4_L,216.8
2017,ISIC4_L,1.1
2018,ISIC4_L,729.6
2019,ISIC4_L,1029.7
2008,ISIC4_M,146708.1692
2009,ISIC4_M,148003.4
2010,ISIC4_M,210779.0
2011,ISIC4_M,169475.1
2012,ISIC4_M,186849.8
2013,ISIC4_M,403375.4
2014,ISIC4_M,228570.3
2015,ISIC4_M,261903.2
2016,ISIC4_M,164965.9
2017,ISIC4_M,132449.4
2018,ISIC4_M,142129.0
2019,ISIC4_M,309563.2
2008,ISIC4_N,0.2841
2009,ISIC4_N,9.3
2010,ISIC4_N,2.4
2011,ISIC4_N,1.7
2012,ISIC4_N,1083.0
2013,ISIC4_N,17.1
2014,ISIC4_N,11.1
2015,ISIC4_N,0.8
2016,ISIC4_N,65.4
2017,ISIC4_N,123.3
2018,ISIC4_N,76.1
2019,ISIC4_N,2246.9
2008,ISIC4_P,0.3
2009,ISIC4_P,139.3
2010,ISIC4_P,12.9
2013,ISIC4_P,5009.5
2014,ISIC4_P,11.7
2015,ISIC4_P,17.3
2016,ISIC4_P,5.2
2017,ISIC4_P,6.1
2019,ISIC4_P,0.8
2008,ISIC4_Q,397.7
2009,ISIC4_Q,395.3
2012,ISIC4_Q,127.2
2017,ISIC4_Q,73.0
2018,ISIC4_Q,8.1
2019,ISIC4_Q,121.8
2008,ISIC4_R,37.0393
2009,ISIC4_R,476.6
2011,ISIC4_R,33.1
2012,ISIC4_R,141.5
2013,ISIC4_R,240.4
2017,ISIC4_R,4712.0
2019,ISIC4_R,181.1
2013,ISIC4_S,0.1
2018,ISIC4_S,50.4
2019,ISIC4_S,57.8
