Year,NATURE,COMMENT_OBS,SERIES,DATA_LAST_UPDATE,Value
2019,G,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,DC_OSSD_GRT,2025-03-12T00:00:00,321.33266
2020,G,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,DC_OSSD_GRT,2025-03-12T00:00:00,287.66505
2021,G,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,DC_OSSD_GRT,2025-03-12T00:00:00,332.33287
2022,G,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,DC_OSSD_GRT,2025-03-12T00:00:00,360.38436
2023,G,Gross disbursements. Data gaps linked to providers reporting grants to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg 2020-2022 and the World Bank).,DC_OSSD_GRT,2025-03-12T00:00:00,317.31967
2016,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,374.75827
2017,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,0.0182
2018,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,10.18109
2019,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,3.44133
2020,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,16.15021
2021,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,2.36152
2022,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,0.39442
2023,G,"Measured on a commitment basis. Data gaps linked to providers reporting mobilised private finance to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for Luxembourg, the European Bank for Reconstruction and Development and the World Bank).",DC_OSSD_MPF,2025-03-12T00:00:00,0.48091
2019,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFCL,2025-03-12T00:00:00,64.61795
2020,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFCL,2025-03-12T00:00:00,188.443
2021,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFCL,2025-03-12T00:00:00,163.29993
2022,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFCL,2025-03-12T00:00:00,591.49391
2023,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFCL,2025-03-12T00:00:00,184.48192
2019,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFNL,2025-03-12T00:00:00,42.39013
2020,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFNL,2025-03-12T00:00:00,36.45533
2021,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFNL,2025-03-12T00:00:00,88.32749
2022,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFNL,2025-03-12T00:00:00,108.0894
2023,G,Gross disbursements. Data gaps linked to providers reporting official concessional loans to the OECD DAC (Creditor Reporting System) but not to TOSSD have been estimated (i.e. for the World Bank).,DC_OSSD_OFFNL,2025-03-12T00:00:00,161.3002
2016,G,Gross disbursements. ,DC_OSSD_PRVGRT,2025-03-12T00:00:00,0.01445
2017,G,Gross disbursements. ,DC_OSSD_PRVGRT,2025-03-12T00:00:00,0.29999
2018,G,Gross disbursements. ,DC_OSSD_PRVGRT,2025-03-12T00:00:00,0.00221
2019,G,Gross disbursements. ,DC_OSSD_PRVGRT,2025-03-12T00:00:00,0.22375
2020,G,Gross disbursements. ,DC_OSSD_PRVGRT,2025-03-12T00:00:00,0.10682
2021,G,Gross disbursements. ,DC_OSSD_PRVGRT,2025-03-12T00:00:00,2.14
2022,G,Gross disbursements. ,DC_OSSD_PRVGRT,2025-03-12T00:00:00,0.64695
1993,C,,GF_FRN_FDI,2025-03-27T00:00:00,10.0
1994,C,,GF_FRN_FDI,2025-03-27T00:00:00,38.18
1995,C,,GF_FRN_FDI,2025-03-27T00:00:00,96.0747
1996,C,,GF_FRN_FDI,2025-03-27T00:00:00,46.7927
1997,C,,GF_FRN_FDI,2025-03-27T00:00:00,83.0408
1998,C,,GF_FRN_FDI,2025-03-27T00:00:00,109.22848
1999,C,,GF_FRN_FDI,2025-03-27T00:00:00,44.413
2000,C,,GF_FRN_FDI,2025-03-27T00:00:00,-2.361
2001,C,,GF_FRN_FDI,2025-03-27T00:00:00,5.007
2002,C,,GF_FRN_FDI,2025-03-27T00:00:00,4.665
2003,C,,GF_FRN_FDI,2025-03-27T00:00:00,45.544
2004,C,,GF_FRN_FDI,2025-03-27T00:00:00,175.458
2005,C,,GF_FRN_FDI,2025-03-27T00:00:00,42.565
2006,C,,GF_FRN_FDI,2025-03-27T00:00:00,182.023
2007,C,,GF_FRN_FDI,2025-03-27T00:00:00,207.92
2008,C,,GF_FRN_FDI,2025-03-27T00:00:00,376.992
2009,C,,GF_FRN_FDI,2025-03-27T00:00:00,189.377
2010,C,,GF_FRN_FDI,2025-03-27T00:00:00,437.586
2011,C,,GF_FRN_FDI,2025-03-27T00:00:00,693.528
2012,C,,GF_FRN_FDI,2025-03-27T00:00:00,292.0
2013,C,,GF_FRN_FDI,2025-03-27T00:00:00,626.0937
2014,C,,GF_FRN_FDI,2025-03-27T00:00:00,248.0
2015,C,,GF_FRN_FDI,2025-03-27T00:00:00,1141.8836
2016,C,,GF_FRN_FDI,2025-03-27T00:00:00,616.0
2017,C,,GF_FRN_FDI,2025-03-27T00:00:00,-107.0
2018,C,,GF_FRN_FDI,2025-03-27T00:00:00,144.2226
2019,C,,GF_FRN_FDI,2025-03-27T00:00:00,403.8651
2020,C,,GF_FRN_FDI,2025-03-27T00:00:00,-401.519
2021,C,,GF_FRN_FDI,2025-03-27T00:00:00,226.2054
2022,C,,GF_FRN_FDI,2025-03-27T00:00:00,54.9
2023,C,,GF_FRN_FDI,2025-03-27T00:00:00,159.0
