Year,REF_AREA,URBANISATION,Value
2000,,,60.521725
2001,,,77.154938
2002,,,51.354687
2003,,,55.244615
2004,,,48.2
2005,,,49.472402
2006,,,47.554172
2007,,,48.479985
2008,,,45.156055
2009,,,40.667524
2010,,,42.315954
2011,,,44.70876
2012,,,51.004239
2013,,,48.629898
2014,,,47.932099
2015,,,50.982902
2016,,,45.6165
2017,,,50.0267
2018,,,46.4
2019,,,46.3
2000,,U,69.472742
2001,,U,84.06804
2002,,U,67.700173
2003,,U,59.23848
2004,,U,49.4
2005,,U,52.267834
2006,,U,46.086276
2007,,U,46.663125
2008,,U,45.363642
2009,,U,38.386768
2010,,U,44.47285
2011,,U,51.442437
2012,,U,60.754126
2013,,U,48.726107
2014,,U,53.02
2015,,U,58.534524
2016,,U,48.6979
2017,,U,55.5006
2018,,U,51.6
2019,,U,50.6
2000,,R,55.809151
2001,,R,73.452418
2002,,R,42.634369
2003,,R,53.092169
2004,,R,48.1
2005,,R,47.848938
2006,,R,48.420366
2007,,R,49.514891
2008,,R,45.039446
2009,,R,41.917619
2010,,R,41.073296
2011,,R,40.705385
2012,,R,45.363875
2013,,R,48.57992
2014,,R,45.06
2015,,R,46.84518
2016,,R,43.9253
2017,,R,47.0111
2018,,R,43.5
2019,,R,43.9
2000,KG05,,59.339716
2001,KG05,,61.621051
2002,KG05,,36.961393
2003,KG05,,42.329001
2004,KG05,,37.049508
2005,KG05,,53.54665
2006,KG05,,47.900712
2007,KG05,,30.186768
2008,KG05,,37.443818
2009,KG05,,48.591583
2010,KG05,,42.666903
2011,KG05,,44.064464
2012,KG05,,50.49106
2013,KG05,,62.932382
2014,KG05,,53.56602
2015,KG05,,49.799251
2016,KG05,,52.9718
2017,KG05,,52.4614
2018,KG05,,54.6
2019,KG05,,52.6
2000,KG03,,59.287149
2001,KG03,,81.005572
2002,KG03,,42.498122
2003,KG03,,57.011499
2004,KG03,,51.655713
2005,KG03,,61.433801
2006,KG03,,52.669155
2007,KG03,,61.234009
2008,KG03,,51.475346
2009,KG03,,34.357172
2010,KG03,,45.552551
2011,KG03,,41.458589
2012,KG03,,56.178597
2013,KG03,,55.445404
2014,KG03,,54.779707
2015,KG03,,55.904828
2016,KG03,,48.1947
2017,KG03,,41.1944
2018,KG03,,44.0
2019,KG03,,38.8
2000,KG02,,65.030908
2001,KG02,,78.831057
2002,KG02,,60.063825
2003,KG02,,52.018784
2004,KG02,,40.999171
2005,KG02,,46.03717
2006,KG02,,49.877805
2007,KG02,,50.802119
2008,KG02,,54.861606
2009,KG02,,44.383158
2010,KG02,,43.452039
2011,KG02,,41.044025
2012,KG02,,36.987697
2013,KG02,,39.824088
2014,KG02,,42.638658
2015,KG02,,46.284209
2016,KG02,,45.0267
2017,KG02,,51.7617
2018,KG02,,49.4
2019,KG02,,50.2
2000,KG04,,69.421773
2001,KG04,,83.854909
2002,KG04,,61.635086
2003,KG04,,56.394478
2004,KG04,,64.607909
2005,KG04,,41.085248
2006,KG04,,44.647005
2007,KG04,,54.995283
2008,KG04,,46.270674
2009,KG04,,45.332789
2010,KG04,,53.95726
2011,KG04,,55.074815
2012,KG04,,50.991559
2013,KG04,,49.875233
2014,KG04,,54.149214
2015,KG04,,50.007164
2016,KG04,,52.6105
2017,KG04,,41.3079
2018,KG04,,42.5
2019,KG04,,41.6
2000,KG06,,61.998935
2001,KG06,,79.954728
2002,KG06,,54.70914
2003,KG06,,61.826885
2004,KG06,,55.635299
2005,KG06,,53.173236
2006,KG06,,61.102156
2007,KG06,,57.709264
2008,KG06,,50.124177
2009,KG06,,46.700596
2010,KG06,,46.190482
2011,KG06,,47.071675
2012,KG06,,54.141276
2013,KG06,,47.140618
2014,KG06,,33.115
2015,KG06,,37.884188
2016,KG06,,39.4276
2017,KG06,,42.7541
2018,KG06,,41.5
2019,KG06,,36.6
2000,KG07,,63.975403
2001,KG07,,77.544184
2002,KG07,,49.613657
2003,KG07,,57.113622
2004,KG07,,56.048502
2005,KG07,,42.225864
2006,KG07,,48.801285
2007,KG07,,44.743736
2008,KG07,,46.638489
2009,KG07,,39.560145
2010,KG07,,38.135796
2011,KG07,,41.962558
2012,KG07,,42.399891
2013,KG07,,23.469023
2014,KG07,,27.367498
2015,KG07,,28.689411
2016,KG07,,27.3539
2017,KG07,,34.8662
2018,KG07,,36.1
2019,KG07,,37.0
2000,KG08,,46.583904
2001,KG08,,64.318147
2002,KG08,,39.251547
2003,KG08,,39.42033
2004,KG08,,33.925261
2005,KG08,,33.550114
2006,KG08,,27.796785
2007,KG08,,31.993627
2008,KG08,,32.482469
2009,KG08,,35.879613
2010,KG08,,30.869436
2011,KG08,,39.349758
2012,KG08,,35.689813
2013,KG08,,44.223608
2014,KG08,,51.04221
2015,KG08,,52.441412
2016,KG08,,43.6365
2017,KG08,,58.4127
2018,KG08,,41.2
2019,KG08,,56.0
2000,KG11,,68.003731
2001,KG11,,85.640504
2002,KG11,,68.047002
2003,KG11,,65.35321
2004,KG11,,47.93348
2005,KG11,,48.511241
2006,KG11,,37.044933
2007,KG11,,40.680531
2008,KG11,,39.336853
2009,KG11,,35.924393
2010,KG11,,39.823376
2011,KG11,,49.68253
2012,KG11,,63.775511
2013,KG11,,43.930005
2014,KG11,,54.032632
2015,KG11,,65.190118
2016,KG11,,49.217
2017,KG11,,60.2912
2018,KG11,,51.8
2019,KG11,,53.7
2013,KG21,,69.262253
2014,KG21,,67.223461
2015,KG21,,67.700759
2016,KG21,,54.4469
2017,KG21,,72.2366
2018,KG21,,70.1
2019,KG21,,59.3
