Year,Reference area,Value
2007,,131.547158
2008,,120.913387
2009,,92.628335
2010,,127.019995
2011,,103.485746
2012,,104.494474
2013,,101.769602
2014,,113.857081
2015,,95.794976
2016,,94.980194
2017,,102.713332
2018,,97.394314
2019,,105.744831
2020,,109.72213
2021,,111.179032
2007,Batken,129.740223
2008,Batken,122.152556
2009,Batken,98.079552
2010,Batken,134.872599
2011,Batken,108.143261
2012,Batken,104.669453
2013,Batken,103.067841
2014,Batken,113.826871
2015,Batken,92.841081
2016,Batken,95.516291
2017,Batken,104.587578
2018,Batken,94.575897
2019,Batken,110.412587
2020,Batken,108.449054
2021,Batken,113.692361
2007,Jalal-Abad,131.474644
2008,Jalal-Abad,133.108773
2009,Jalal-Abad,94.285732
2010,Jalal-Abad,133.48734
2011,Jalal-Abad,105.19525
2012,Jalal-Abad,104.995426
2013,Jalal-Abad,103.702848
2014,Jalal-Abad,118.268743
2015,Jalal-Abad,94.347779
2016,Jalal-Abad,95.233819
2017,Jalal-Abad,103.296213
2018,Jalal-Abad,99.437848
2019,Jalal-Abad,106.897463
2020,Jalal-Abad,109.90983
2021,Jalal-Abad,114.888541
2007,Issyk-Kul,136.022851
2008,Issyk-Kul,116.499725
2009,Issyk-Kul,90.4746
2010,Issyk-Kul,126.103007
2011,Issyk-Kul,99.413814
2012,Issyk-Kul,105.487767
2013,Issyk-Kul,96.74539
2014,Issyk-Kul,119.674506
2015,Issyk-Kul,92.938571
2016,Issyk-Kul,97.869284
2017,Issyk-Kul,103.318964
2018,Issyk-Kul,97.328443
2019,Issyk-Kul,106.659795
2020,Issyk-Kul,108.406065
2021,Issyk-Kul,110.910602
2007,Naryn,129.698247
2008,Naryn,110.814902
2009,Naryn,92.921575
2010,Naryn,133.150078
2011,Naryn,103.232521
2012,Naryn,107.926877
2013,Naryn,98.290589
2014,Naryn,114.563967
2015,Naryn,98.213637
2016,Naryn,94.459452
2017,Naryn,100.774043
2018,Naryn,101.660059
2019,Naryn,106.016926
2020,Naryn,109.401619
2021,Naryn,113.022339
2007,Osh,130.503251
2008,Osh,132.389129
2009,Osh,91.207604
2010,Osh,133.714976
2011,Osh,103.635522
2012,Osh,106.985188
2013,Osh,104.5544
2014,Osh,118.553298
2015,Osh,93.999692
2016,Osh,94.914537
2017,Osh,109.47206
2018,Osh,96.104604
2019,Osh,107.312397
2020,Osh,107.711557
2021,Osh,110.668162
2007,Talas,131.559431
2008,Talas,117.520012
2009,Talas,90.950636
2010,Talas,123.024848
2011,Talas,105.793162
2012,Talas,102.033354
2013,Talas,100.612627
2014,Talas,116.089417
2015,Talas,93.146935
2016,Talas,92.497165
2017,Talas,104.166923
2018,Talas,96.802565
2019,Talas,106.172057
2020,Talas,111.789216
2021,Talas,111.407088
2007,Chui,130.314372
2008,Chui,123.411415
2009,Chui,94.365695
2010,Chui,128.672851
2011,Chui,102.493938
2012,Chui,103.92528
2013,Chui,102.312574
2014,Chui,114.643974
2015,Chui,95.710818
2016,Chui,95.89276
2017,Chui,102.559508
2018,Chui,96.302209
2019,Chui,105.8531
2020,Chui,111.39254
2021,Chui,109.493892
2007,Bishkek (city),131.950406
2008,Bishkek (city),117.83137
2009,Bishkek (city),92.340833
2010,Bishkek (city),123.722482
2011,Bishkek (city),103.406938
2012,Bishkek (city),103.832086
2013,Bishkek (city),101.221964
2014,Bishkek (city),110.997582
2015,Bishkek (city),97.00121
2016,Bishkek (city),94.519576
2017,Bishkek (city),101.578366
2018,Bishkek (city),97.346546
2019,Bishkek (city),105.61571
2020,Bishkek (city),110.449192
2021,Bishkek (city),110.97186
2007,Osh (city),130.503251
2008,Osh (city),132.389129
2009,Osh (city),91.207604
2010,Osh (city),133.714976
2011,Osh (city),103.635522
2012,Osh (city),106.985188
2013,Osh (city),104.5544
2014,Osh (city),118.553298
2015,Osh (city),93.999692
2016,Osh (city),94.914537
2017,Osh (city),103.95699
2018,Osh (city),98.011361
2019,Osh (city),102.470488
2020,Osh (city),106.898265
2021,Osh (city),110.008559
