Year,REF_AREA,SEX,Value
2007,,,211
2008,,,196
2009,,,181
2010,,,164
2011,,,153
2012,,,146
2013,,,149
2014,,,156
2015,,,140
2016,,,127
2017,,,118
2018,,,120
2019,,,118
2020,,,117
2010,,M,183
2011,,M,168
2012,,M,161
2013,,M,165
2014,,M,169
2015,,M,154
2016,,M,134
2017,,M,131
2018,,M,132
2019,,M,129
2020,,M,125
2010,,F,144
2011,,F,138
2012,,F,130
2013,,F,131
2014,,F,143
2015,,F,125
2016,,F,119
2017,,F,104
2018,,F,107
2019,,F,107
2020,,F,110
2007,KG05,,200
2008,KG05,,204
2009,KG05,,178
2010,KG05,,179
2011,KG05,,159
2012,KG05,,133
2013,KG05,,133
2014,KG05,,125
2015,KG05,,112
2016,KG05,,106
2017,KG05,,106
2018,KG05,,93
2019,KG05,,105
2020,KG05,,111
2010,KG05,M,195
2011,KG05,M,170
2012,KG05,M,151
2013,KG05,M,154
2014,KG05,M,147
2015,KG05,M,121
2016,KG05,M,104
2017,KG05,M,117
2018,KG05,M,104
2019,KG05,M,103
2020,KG05,M,119
2010,KG05,F,163
2011,KG05,F,148
2012,KG05,F,115
2013,KG05,F,111
2014,KG05,F,101
2015,KG05,F,103
2016,KG05,F,108
2017,KG05,F,94
2018,KG05,F,82
2019,KG05,F,106
2020,KG05,F,102
2007,KG03,,175
2008,KG03,,138
2009,KG03,,131
2010,KG03,,114
2011,KG03,,116
2012,KG03,,115
2013,KG03,,132
2014,KG03,,144
2015,KG03,,127
2016,KG03,,115
2017,KG03,,99
2018,KG03,,102
2019,KG03,,95
2020,KG03,,87
2010,KG03,M,127
2011,KG03,M,130
2012,KG03,M,132
2013,KG03,M,130
2014,KG03,M,156
2015,KG03,M,134
2016,KG03,M,119
2017,KG03,M,105
2018,KG03,M,105
2019,KG03,M,99
2020,KG03,M,88
2010,KG03,F,101
2011,KG03,F,102
2012,KG03,F,98
2013,KG03,F,133
2014,KG03,F,132
2015,KG03,F,119
2016,KG03,F,110
2017,KG03,F,93
2018,KG03,F,99
2019,KG03,F,91
2020,KG03,F,86
2007,KG02,,174
2008,KG02,,184
2009,KG02,,164
2010,KG02,,159
2011,KG02,,163
2012,KG02,,148
2013,KG02,,113
2014,KG02,,93
2015,KG02,,122
2016,KG02,,84
2017,KG02,,94
2018,KG02,,85
2019,KG02,,117
2020,KG02,,97
2010,KG02,M,193
2011,KG02,M,196
2012,KG02,M,154
2013,KG02,M,112
2014,KG02,M,109
2015,KG02,M,139
2016,KG02,M,74
2017,KG02,M,112
2018,KG02,M,89
2019,KG02,M,137
2020,KG02,M,105
2010,KG02,F,124
2011,KG02,F,128
2012,KG02,F,141
2013,KG02,F,113
2014,KG02,F,77
2015,KG02,F,104
2016,KG02,F,95
2017,KG02,F,74
2018,KG02,F,80
2019,KG02,F,95
2020,KG02,F,87
2007,KG04,,179
2008,KG04,,169
2009,KG04,,145
2010,KG04,,123
2011,KG04,,103
2012,KG04,,124
2013,KG04,,116
2014,KG04,,122
2015,KG04,,87
2016,KG04,,112
2017,KG04,,100
2018,KG04,,82
2019,KG04,,66
2020,KG04,,96
2010,KG04,M,128
2011,KG04,M,130
2012,KG04,M,134
2013,KG04,M,127
2014,KG04,M,122
2015,KG04,M,116
2016,KG04,M,114
2017,KG04,M,121
2018,KG04,M,83
2019,KG04,M,75
2020,KG04,M,107
2010,KG04,F,117
2011,KG04,F,74
2012,KG04,F,113
2013,KG04,F,104
2014,KG04,F,122
2015,KG04,F,57
2016,KG04,F,110
2017,KG04,F,77
2018,KG04,F,80
2019,KG04,F,57
2020,KG04,F,86
2007,KG06,,126
2008,KG06,,134
2009,KG06,,106
