Year,REF_AREA,SEX,GeoCode,Value
2007,,,,12.090992
2008,,,,10.585236
2009,,,,10.866987
2010,,,,9.159392
2011,,,,9.955113
2012,,,,10.075772
2013,,,,8.0
2014,,,,7.5
2015,,,,5.9
2016,,,,6.0
2017,,,,5.3
2018,,,,5.139872
2019,,,,3.918523
2020,,,,1.914845
2021,,,,1.793169
2022,,,,1.921087
2007,,F,,10.26386
2008,,F,,8.088592
2009,,F,,7.22507
2010,,F,,6.597241
2011,,F,,7.700463
2012,,F,,7.084345
2013,,F,,6.4
2014,,F,,5.5
2015,,F,,4.2
2016,,F,,4.5
2017,,F,,4.3
2018,,F,,3.54522
2019,,F,,2.520831
2020,,F,,1.745324
2021,,F,,1.097714
2022,,F,,1.020872
2007,,M,,13.967856
2008,,M,,13.149996
2009,,M,,14.604805
2010,,M,,11.787756
2011,,M,,12.267172
2012,,M,,13.139518
2013,,M,,9.5
2014,,M,,9.5
2015,,M,,7.5
2016,,M,,7.5
2017,,M,,6.2
2018,,M,,6.760797
2019,,M,,5.337712
2020,,M,,2.08189
2021,,M,,2.498928
2022,,M,,2.84155
2007,KG05,,KG05,20.180533
2008,KG05,,KG05,20.012808
2009,KG05,,KG05,11.615832
2010,KG05,,KG05,4.57193
2011,KG05,,KG05,11.68605
2012,KG05,,KG05,8.592769
2013,KG05,,KG05,7.1
2014,KG05,,KG05,5.7
2015,KG05,,KG05,4.9
2016,KG05,,KG05,8.6
2017,KG05,,KG05,2.6
2018,KG05,,KG05,3.080721
2019,KG05,,KG05,4.894164
2020,KG05,,KG05,1.658051
2021,KG05,,KG05,2.348902
2022,KG05,,KG05,1.592402
2007,KG05,F,KG05,18.345435
2008,KG05,F,KG05,17.247244
2009,KG05,F,KG05,9.457249
2010,KG05,F,KG05,3.253393
2011,KG05,F,KG05,8.215202
2012,KG05,F,KG05,6.264963
2013,KG05,F,KG05,7.0
2014,KG05,F,KG05,5.1
2015,KG05,F,KG05,4.2
2016,KG05,F,KG05,9.0
2017,KG05,F,KG05,2.8
2018,KG05,F,KG05,2.746401
2019,KG05,F,KG05,2.302335
2020,KG05,F,KG05,1.446749
2021,KG05,F,KG05,1.841024
2022,KG05,F,KG05,2.501143
2007,KG05,M,KG05,21.956256
2008,KG05,M,KG05,22.68529
2009,KG05,M,KG05,13.700569
2010,KG05,M,KG05,5.848164
2011,KG05,M,KG05,15.052973
2012,KG05,M,KG05,10.850459
2013,KG05,M,KG05,7.2
2014,KG05,M,KG05,6.2
2015,KG05,M,KG05,5.7
2016,KG05,M,KG05,8.3
2017,KG05,M,KG05,2.3
2018,KG05,M,KG05,3.402904
2019,KG05,M,KG05,7.389891
2020,KG05,M,KG05,1.877412
2021,KG05,M,KG05,2.838268
2022,KG05,M,KG05,0.700987
2007,KG03,,KG03,5.870303
2008,KG03,,KG03,6.4034
2009,KG03,,KG03,6.305723
2010,KG03,,KG03,5.922974
2011,KG03,,KG03,4.782698
2012,KG03,,KG03,8.916337
2013,KG03,,KG03,7.2
2014,KG03,,KG03,5.8
2015,KG03,,KG03,4.4
2016,KG03,,KG03,2.6
2017,KG03,,KG03,3.3
2018,KG03,,KG03,2.661109
2019,KG03,,KG03,3.179541
2020,KG03,,KG03,0.960244
2021,KG03,,KG03,1.258421
2022,KG03,,KG03,2.231234
2007,KG03,F,KG03,4.656511
2008,KG03,F,KG03,4.604632
2009,KG03,F,KG03,5.719538
2010,KG03,F,KG03,4.08245
2011,KG03,F,KG03,4.788933
2012,KG03,F,KG03,7.898627
2013,KG03,F,KG03,6.6
2014,KG03,F,KG03,3.3
2015,KG03,F,KG03,3.5
2016,KG03,F,KG03,2.4
2017,KG03,F,KG03,2.7
2018,KG03,F,KG03,1.673357
2019,KG03,F,KG03,2.297402
2020,KG03,F,KG03,0.635959
2021,KG03,F,KG03,0.792025
2022,KG03,F,KG03,2.476424
2007,KG03,M,KG03,7.083701
2008,KG03,M,KG03,8.200459
2009,KG03,M,KG03,6.89089
2010,KG03,M,KG03,7.759592
2011,KG03,M,KG03,4.77648
2012,KG03,M,KG03,9.930263
2013,KG03,M,KG03,7.7
2014,KG03,M,KG03,8.3
2015,KG03,M,KG03,5.3
2016,KG03,M,KG03,2.8
2017,KG03,M,KG03,3.9
2018,KG03,M,KG03,3.636935
2019,KG03,M,KG03,4.050498
2020,KG03,M,KG03,1.288842
2021,KG03,M,KG03,1.718369
2022,KG03,M,KG03,1.988875
2007,KG02,,KG02,10.136497
2008,KG02,,KG02,7.333378
2009,KG02,,KG02,9.101396
2010,KG02,,KG02,9.25673
2011,KG02,,KG02,10.980097
2012,KG02,,KG02,8.209561
2013,KG02,,KG02,9.9
2014,KG02,,KG02,6.9
2015,KG02,,KG02,5.4
2016,KG02,,KG02,4.4
2017,KG02,,KG02,4.6
2018,KG02,,KG02,6.168093
2019,KG02,,KG02,2.231658
2020,KG02,,KG02,1.603235
2021,KG02,,KG02,1.786008
2022,KG02,,KG02,1.305778
2007,KG02,F,KG02,6.813722
2008,KG02,F,KG02,5.881022
2009,KG02,F,KG02,5.848427
2010,KG02,F,KG02,4.917674
2011,KG02,F,KG02,7.995523
2012,KG02,F,KG02,7.042811
2013,KG02,F,KG02,6.5
2014,KG02,F,KG02,5.2
2015,KG02,F,KG02,4.7
2016,KG02,F,KG02,2.5
2017,KG02,F,KG02,5.4
2018,KG02,F,KG02,2.86608
2019,KG02,F,KG02,2.020684
2020,KG02,F,KG02,2.414672
2021,KG02,F,KG02,1.580709
2022,KG02,F,KG02,2.605679
2007,KG02,M,KG02,13.555773
2008,KG02,M,KG02,8.824445
2009,KG02,M,KG02,12.43031
2010,KG02,M,KG02,13.683759
2011,KG02,M,KG02,14.018523
2012,KG02,M,KG02,9.395469
2013,KG02,M,KG02,13.3
2014,KG02,M,KG02,8.7
2015,KG02,M,KG02,6.0
2016,KG02,M,KG02,6.4
2017,KG02,M,KG02,3.8
2018,KG02,M,KG02,9.498716
2019,KG02,M,KG02,2.44433
2020,KG02,M,KG02,0.798371
2021,KG02,M,KG02,1.993096
2022,KG02,M,KG02,0.0
2007,KG04,,KG04,12.055783
2008,KG04,,KG04,7.000704
2009,KG04,,KG04,11.614177
2010,KG04,,KG04,7.669976
2011,KG04,,KG04,11.003939
2012,KG04,,KG04,6.753639
2013,KG04,,KG04,6.7
2014,KG04,,KG04,4.4
2015,KG04,,KG04,2.2
2016,KG04,,KG04,4.3
2017,KG04,,KG04,2.8
2018,KG04,,KG04,3.152773
2019,KG04,,KG04,1.734094
2020,KG04,,KG04,1.375133
2021,KG04,,KG04,1.023102
2022,KG04,,KG04,0.650584
2007,KG04,F,KG04,10.98996
2008,KG04,F,KG04,7.071469
2009,KG04,F,KG04,3.916684
2010,KG04,F,KG04,4.66128
2011,KG04,F,KG04,9.231337
2012,KG04,F,KG04,5.330531
2013,KG04,F,KG04,4.5
2014,KG04,F,KG04,2.2
2015,KG04,F,KG04,1.5
2016,KG04,F,KG04,1.5
2017,KG04,F,KG04,3.6
2018,KG04,F,KG04,2.853067
2019,KG04,F,KG04,1.412819
2020,KG04,F,KG04,0.675169
2021,KG04,F,KG04,0.0
2022,KG04,F,KG04,0.656866
2007,KG04,M,KG04,13.10222
2008,KG04,M,KG04,6.931341
2009,KG04,M,KG04,19.13568
2010,KG04,M,KG04,10.603089
2011,KG04,M,KG04,12.729315
2012,KG04,M,KG04,8.135854
2013,KG04,M,KG04,8.8
2014,KG04,M,KG04,6.5
2015,KG04,M,KG04,2.9
2016,KG04,M,KG04,7.1
2017,KG04,M,KG04,2.1
2018,KG04,M,KG04,3.442033
2019,KG04,M,KG04,2.043959
2020,KG04,M,KG04,2.101282
2021,KG04,M,KG04,2.009121
2022,KG04,M,KG04,0.644421
2007,KG06,,KG06,3.797045
2008,KG06,,KG06,4.117327
2009,KG06,,KG06,7.48076
2010,KG06,,KG06,8.360245
2011,KG06,,KG06,6.407336
2012,KG06,,KG06,4.222387
2013,KG06,,KG06,5.1
2014,KG06,,KG06,6.3
2015,KG06,,KG06,3.5
2016,KG06,,KG06,4.6
2017,KG06,,KG06,5.9
2018,KG06,,KG06,4.442955
2019,KG06,,KG06,3.763954
2020,KG06,,KG06,1.594374
2021,KG06,,KG06,2.209299
2022,KG06,,KG06,2.555337
2007,KG06,F,KG06,3.920595
2008,KG06,F,KG06,3.504507
2009,KG06,F,KG06,5.269824
2010,KG06,F,KG06,6.451682
2011,KG06,F,KG06,5.833243
2012,KG06,F,KG06,3.298262
2013,KG06,F,KG06,4.6
2014,KG06,F,KG06,5.0
2015,KG06,F,KG06,2.6
2016,KG06,F,KG06,2.4
2017,KG06,F,KG06,5.3
2018,KG06,F,KG06,3.043862
2019,KG06,F,KG06,2.238799
2020,KG06,F,KG06,1.576537
2021,KG06,F,KG06,0.864963
2022,KG06,F,KG06,1.807815
2007,KG06,M,KG06,3.67543
2008,KG06,M,KG06,4.720552
2009,KG06,M,KG06,9.65648
2010,KG06,M,KG06,10.240565
2011,KG06,M,KG06,6.973549
2012,KG06,M,KG06,5.133295
2013,KG06,M,KG06,5.5
2014,KG06,M,KG06,7.7
2015,KG06,M,KG06,4.5
2016,KG06,M,KG06,6.8
2017,KG06,M,KG06,6.5
2018,KG06,M,KG06,5.813217
2019,KG06,M,KG06,5.255812
2020,KG06,M,KG06,1.612619
2021,KG06,M,KG06,3.523663
2022,KG06,M,KG06,3.292859
2007,KG07,,KG07,7.635028
2008,KG07,,KG07,5.776699
2009,KG07,,KG07,4.832
2010,KG07,,KG07,11.284379
2011,KG07,,KG07,8.134502
2012,KG07,,KG07,8.424032
2013,KG07,,KG07,7.9
2014,KG07,,KG07,6.5
2015,KG07,,KG07,5.2
2016,KG07,,KG07,6.3
2017,KG07,,KG07,3.9
2018,KG07,,KG07,2.679877
2019,KG07,,KG07,1.883977
2020,KG07,,KG07,0.371503
2021,KG07,,KG07,1.467825
2022,KG07,,KG07,1.838796
2007,KG07,F,KG07,10.776346
2008,KG07,F,KG07,7.11383
2009,KG07,F,KG07,3.520042
2010,KG07,F,KG07,13.05733
2011,KG07,F,KG07,6.020884
2012,KG07,F,KG07,6.779718
2013,KG07,F,KG07,5.0
2014,KG07,F,KG07,5.8
2015,KG07,F,KG07,2.4
2016,KG07,F,KG07,5.6
2017,KG07,F,KG07,1.6
2018,KG07,F,KG07,3.096263
2019,KG07,F,KG07,1.524239
2020,KG07,F,KG07,0.0
2021,KG07,F,KG07,0.741559
2022,KG07,F,KG07,2.226081
2007,KG07,M,KG07,4.492242
2008,KG07,M,KG07,4.441089
2009,KG07,M,KG07,6.139597
2010,KG07,M,KG07,9.521419
2011,KG07,M,KG07,10.22922
2012,KG07,M,KG07,10.048821
2013,KG07,M,KG07,10.7
2014,KG07,M,KG07,7.3
2015,KG07,M,KG07,8.0
2016,KG07,M,KG07,7.0
2017,KG07,M,KG07,6.2
2018,KG07,M,KG07,2.272417
2019,KG07,M,KG07,2.235753
2020,KG07,M,KG07,0.751258
2021,KG07,M,KG07,2.179266
2022,KG07,M,KG07,1.458247
2007,KG08,,KG08,12.255614
2008,KG08,,KG08,13.153626
2009,KG08,,KG08,11.182041
2010,KG08,,KG08,6.530648
2011,KG08,,KG08,10.259855
2012,KG08,,KG08,8.790298
2013,KG08,,KG08,6.6
2014,KG08,,KG08,6.5
2015,KG08,,KG08,5.8
2016,KG08,,KG08,5.4
2017,KG08,,KG08,4.8
2018,KG08,,KG08,6.334346
2019,KG08,,KG08,5.049926
2020,KG08,,KG08,2.894254
2021,KG08,,KG08,1.530289
2022,KG08,,KG08,1.224589
2007,KG08,F,KG08,9.181073
2008,KG08,F,KG08,8.612184
2009,KG08,F,KG08,7.080216
