Year,REF_AREA,SEX,GeoCode,Value
2010,,,,53.8
2013,,,,31.2
2014,,,,27.4
2015,,,,23.5
2016,,,,28.4
2017,,,,23.0
2018,,,,18.6
2019,,,,18.446484
2020,,,,15.121199
2021,,,,16.601754
2010,,F,,13.1
2013,,F,,7.4
2014,,F,,5.7
2015,,F,,5.6
2016,,F,,6.4
2017,,F,,6.8
2018,,F,,4.0
2019,,F,,4.918696
2020,,F,,4.041802
2021,,F,,7.357653
2010,,M,,95.6
2013,,M,,55.6
2014,,M,,49.5
2015,,M,,41.8
2016,,M,,50.8
2017,,M,,39.5
2018,,M,,33.5
2019,,M,,32.182344
2020,,M,,26.038712
2021,,M,,25.982831
2010,KG05,,KG05,27.4
2013,KG05,,KG05,27.4
2014,KG05,,KG05,22.1
2015,KG05,,KG05,14.0
2016,KG05,,KG05,15.9
2017,KG05,,KG05,12.2
2018,KG05,,KG05,6.9
2019,KG05,,KG05,7.71772
2020,KG05,,KG05,6.632204
2021,KG05,,KG05,4.697805
2010,KG05,F,KG05,1.9
2013,KG05,F,KG05,0.4
2014,KG05,F,KG05,0.4
2015,KG05,F,KG05,0.8
2016,KG05,F,KG05,0.4
2017,KG05,F,KG05,0.8
2018,KG05,F,KG05,0.8
2019,KG05,F,KG05,1.918612
2020,KG05,F,KG05,0.723374
2021,KG05,F,KG05,0.368205
2010,KG05,M,KG05,52.2
2013,KG05,M,KG05,53.4
2014,KG05,M,KG05,43.1
2015,KG05,M,KG05,26.7
2016,KG05,M,KG05,30.8
2017,KG05,M,KG05,23.2
2018,KG05,M,KG05,12.9
2019,KG05,M,KG05,13.301803
2020,KG05,M,KG05,12.766405
2021,KG05,M,KG05,8.869589
2010,KG03,,KG03,17.2
2013,KG03,,KG03,14.2
2014,KG03,,KG03,14.3
2015,KG03,,KG03,10.7
2016,KG03,,KG03,10.0
2017,KG03,,KG03,9.5
2018,KG03,,KG03,6.8
2019,KG03,,KG03,4.565495
2020,KG03,,KG03,3.440873
2021,KG03,,KG03,4.87638
2010,KG03,F,KG03,1.2
2013,KG03,F,KG03,0.9
2014,KG03,F,KG03,1.4
2015,KG03,F,KG03,1.4
2016,KG03,F,KG03,1.2
2017,KG03,F,KG03,1.7
2018,KG03,F,KG03,1.3
2019,KG03,F,KG03,0.4923
2020,KG03,F,KG03,0.31798
2021,KG03,F,KG03,0.63362
2010,KG03,M,KG03,33.2
2013,KG03,M,KG03,27.3
2014,KG03,M,KG03,27.1
2015,KG03,M,KG03,19.8
2016,KG03,M,KG03,18.7
2017,KG03,M,KG03,17.2
2018,KG03,M,KG03,12.2
2019,KG03,M,KG03,8.587057
2020,KG03,M,KG03,6.605318
2021,KG03,M,KG03,9.06049
2010,KG02,,KG02,19.0
2013,KG02,,KG02,21.5
2014,KG02,,KG02,14.3
2015,KG02,,KG02,17.6
2016,KG02,,KG02,16.5
2017,KG02,,KG02,13.3
2018,KG02,,KG02,3.7
2019,KG02,,KG02,6.086341
2020,KG02,,KG02,3.807684
2021,KG02,,KG02,6.151807
2010,KG02,F,KG02,3.1
2013,KG02,F,KG02,3.0
2014,KG02,F,KG02,3.9
2015,KG02,F,KG02,8.5
2016,KG02,F,KG02,1.7
2017,KG02,F,KG02,2.9
2018,KG02,F,KG02,1.2
2019,KG02,F,KG02,1.21241
2020,KG02,F,KG02,0.402445
2021,KG02,F,KG02,2.766241
2010,KG02,M,KG02,35.1
2013,KG02,M,KG02,40.2
2014,KG02,M,KG02,24.9
2015,KG02,M,KG02,26.7
2016,KG02,M,KG02,31.4
2017,KG02,M,KG02,23.9
2018,KG02,M,KG02,6.2
2019,KG02,M,KG02,10.999487
2020,KG02,M,KG02,7.185342
2021,KG02,M,KG02,9.56686
2010,KG04,,KG04,31.1
2013,KG04,,KG04,37.4
2014,KG04,,KG04,43.6
2015,KG04,,KG04,20.3
2016,KG04,,KG04,36.5
2017,KG04,,KG04,23.0
2018,KG04,,KG04,16.1
2019,KG04,,KG04,23.23686
2020,KG04,,KG04,21.314558
2021,KG04,,KG04,19.438931
2010,KG04,F,KG04,5.4
2013,KG04,F,KG04,7.5
2014,KG04,F,KG04,11.2
2015,KG04,F,KG04,5.1
2016,KG04,F,KG04,13.8
2017,KG04,F,KG04,9.4
2018,KG04,F,KG04,2.1
2019,KG04,F,KG04,3.532046
2020,KG04,F,KG04,6.076524
2021,KG04,F,KG04,6.948932
2010,KG04,M,KG04,56.0
2013,KG04,M,KG04,66.5
2014,KG04,M,KG04,75.1
2015,KG04,M,KG04,35.0
2016,KG04,M,KG04,58.5
2017,KG04,M,KG04,36.2
2018,KG04,M,KG04,29.6
2019,KG04,M,KG04,42.241814
2020,KG04,M,KG04,37.122645
2021,KG04,M,KG04,31.476235
2010,KG06,,KG06,35.0
2013,KG06,,KG06,27.2
2014,KG06,,KG06,24.7
2015,KG06,,KG06,29.3
2016,KG06,,KG06,25.1
2017,KG06,,KG06,26.2
2018,KG06,,KG06,23.2
2019,KG06,,KG06,20.960059
2020,KG06,,KG06,17.175755
2021,KG06,,KG06,17.246786
2010,KG06,F,KG06,2.9
2013,KG06,F,KG06,3.4
2014,KG06,F,KG06,1.3
2015,KG06,F,KG06,2.9
2016,KG06,F,KG06,3.6
2017,KG06,F,KG06,4.2
2018,KG06,F,KG06,2.1
2019,KG06,F,KG06,1.940293
2020,KG06,F,KG06,1.86318
2021,KG06,F,KG06,1.729927
2010,KG06,M,KG06,66.7
2013,KG06,M,KG06,50.7
2014,KG06,M,KG06,47.7
2015,KG06,M,KG06,55.2
2016,KG06,M,KG06,46.2
2017,KG06,M,KG06,47.8
2018,KG06,M,KG06,43.8
2019,KG06,M,KG06,39.564585
2020,KG06,M,KG06,32.838797
2021,KG06,M,KG06,32.417698
2010,KG07,,KG07,43.0
2013,KG07,,KG07,40.2
2014,KG07,,KG07,41.6
2015,KG07,,KG07,18.9
2016,KG07,,KG07,24.5
2017,KG07,,KG07,40.1
2018,KG07,,KG07,26.0
2019,KG07,,KG07,27.882862
2020,KG07,,KG07,26.748199
2021,KG07,,KG07,13.577384
2010,KG07,F,KG07,2.6
2013,KG07,F,KG07,5.0
2014,KG07,F,KG07,7.4
2015,KG07,F,KG07,4.0
2016,KG07,F,KG07,8.0
2017,KG07,F,KG07,7.1
2018,KG07,F,KG07,3.1
2019,KG07,F,KG07,5.334837
2020,KG07,F,KG07,8.819185
2021,KG07,F,KG07,1.483118
2010,KG07,M,KG07,83.1
2013,KG07,M,KG07,74.9
2014,KG07,M,KG07,75.2
2015,KG07,M,KG07,33.4
2016,KG07,M,KG07,40.7
2017,KG07,M,KG07,72.4
2018,KG07,M,KG07,48.5
2019,KG07,M,KG07,49.93181
2020,KG07,M,KG07,45.075501
2021,KG07,M,KG07,25.424775
2010,KG08,,KG08,60.6
2013,KG08,,KG08,51.1
2014,KG08,,KG08,36.0
2015,KG08,,KG08,30.0
2016,KG08,,KG08,50.5
2017,KG08,,KG08,32.8
2018,KG08,,KG08,26.4
2019,KG08,,KG08,32.298484
2020,KG08,,KG08,22.637203
2021,KG08,,KG08,28.259337
2010,KG08,F,KG08,20.1
2013,KG08,F,KG08,16.1
2014,KG08,F,KG08,10.5
2015,KG08,F,KG08,10.5
2016,KG08,F,KG08,16.3
2017,KG08,F,KG08,12.1
2018,KG08,F,KG08,8.2
2019,KG08,F,KG08,13.268429
2020,KG08,F,KG08,6.507574
2021,KG08,F,KG08,18.681751
2010,KG08,M,KG08,102.6
2013,KG08,M,KG08,87.2
2014,KG08,M,KG08,62.2
2015,KG08,M,KG08,50.1
2016,KG08,M,KG08,85.9
2017,KG08,M,KG08,54.3
2018,KG08,M,KG08,45.1
2019,KG08,M,KG08,51.905221
2020,KG08,M,KG08,38.28406
2021,KG08,M,KG08,38.143016
2010,KG11,,KG11,164.9
2013,KG11,,KG11,44.7
2014,KG11,,KG11,40.7
2015,KG11,,KG11,36.4
2016,KG11,,KG11,48.6
2017,KG11,,KG11,35.1
2018,KG11,,KG11,29.7
2019,KG11,,KG11,29.118376
2020,KG11,,KG11,23.966278
2021,KG11,,KG11,29.550909
2010,KG11,F,KG11,50.1
2013,KG11,F,KG11,19.0
2014,KG11,F,KG11,13.1
2015,KG11,F,KG11,11.1
2016,KG11,F,KG11,10.8
2017,KG11,F,KG11,16.5
2018,KG11,F,KG11,9.1
2019,KG11,F,KG11,9.227646
2020,KG11,F,KG11,11.409881
2021,KG11,F,KG11,19.441305
2010,KG11,M,KG11,297.5
2013,KG11,M,KG11,74.3
2014,KG11,M,KG11,72.3
2015,KG11,M,KG11,65.3
2016,KG11,M,KG11,91.6
2017,KG11,M,KG11,56.3
2018,KG11,M,KG11,53.0
2019,KG11,M,KG11,51.650669
2020,KG11,M,KG11,35.079762
2021,KG11,M,KG11,40.966897
2010,KG21,,KG21,29.9
2013,KG21,,KG21,18.3
2014,KG21,,KG21,22.0
2015,KG21,,KG21,19.8
2016,KG21,,KG21,16.9
2017,KG21,,KG21,11.6
2018,KG21,,KG21,25.2
2019,KG21,,KG21,9.477341
2020,KG21,,KG21,16.385849
2021,KG21,,KG21,17.688535
2010,KG21,F,KG21,4.5
2013,KG21,F,KG21,2.9
2014,KG21,F,KG21,5.8
2015,KG21,F,KG21,2.8
2016,KG21,F,KG21,2.1
2017,KG21,F,KG21,2.0
2018,KG21,F,KG21,4.0
2019,KG21,F,KG21,3.171502
2020,KG21,F,KG21,3.244836
2021,KG21,F,KG21,4.157411
2010,KG21,M,KG21,57.5
2013,KG21,M,KG21,34.8
2014,KG21,M,KG21,39.6
2015,KG21,M,KG21,38.0
2016,KG21,M,KG21,32.7
2017,KG21,M,KG21,21.8
2018,KG21,M,KG21,47.8
2019,KG21,M,KG21,16.179157
2020,KG21,M,KG21,28.789141
2021,KG21,M,KG21,31.970512
