Year,concept.REF_AREA,Value
2007,,18.4
2008,,19.2
2009,,17.6
2010,,16.1
2011,,16.9
2012,,16.5
2013,,17.9
2014,,15.3
2015,,15.6
2016,,13.4
2017,,13.7
2018,,11.0
2019,,12.0
2007,CL_AREA.KG05,8.3
2008,CL_AREA.KG05,13.7
2009,CL_AREA.KG05,15.8
2010,CL_AREA.KG05,13.0
2011,CL_AREA.KG05,12.6
2012,CL_AREA.KG05,12.8
2013,CL_AREA.KG05,14.6
2014,CL_AREA.KG05,12.0
2015,CL_AREA.KG05,15.8
2016,CL_AREA.KG05,11.0
2017,CL_AREA.KG05,13.6
2018,CL_AREA.KG05,9.0
2019,CL_AREA.KG05,10.2
2007,CL_AREA.KG03,13.2
2008,CL_AREA.KG03,16.7
2009,CL_AREA.KG03,16.5
2010,CL_AREA.KG03,12.9
2011,CL_AREA.KG03,15.2
2012,CL_AREA.KG03,17.5
2013,CL_AREA.KG03,14.6
2014,CL_AREA.KG03,11.8
2015,CL_AREA.KG03,12.7
2016,CL_AREA.KG03,11.1
2017,CL_AREA.KG03,8.6
2018,CL_AREA.KG03,7.9
2019,CL_AREA.KG03,8.6
2007,CL_AREA.KG02,32.5
2008,CL_AREA.KG02,29.3
2009,CL_AREA.KG02,23.2
2010,CL_AREA.KG02,27.3
2011,CL_AREA.KG02,32.5
2012,CL_AREA.KG02,26.6
2013,CL_AREA.KG02,35.3
2014,CL_AREA.KG02,23.9
2015,CL_AREA.KG02,27.8
2016,CL_AREA.KG02,22.8
2017,CL_AREA.KG02,25.8
2018,CL_AREA.KG02,18.5
2019,CL_AREA.KG02,19.5
2007,CL_AREA.KG04,29.2
2008,CL_AREA.KG04,26.4
2009,CL_AREA.KG04,28.3
2010,CL_AREA.KG04,27.6
2011,CL_AREA.KG04,26.9
2012,CL_AREA.KG04,27.0
2013,CL_AREA.KG04,24.8
2014,CL_AREA.KG04,28.9
2015,CL_AREA.KG04,30.8
2016,CL_AREA.KG04,19.7
2017,CL_AREA.KG04,26.5
2018,CL_AREA.KG04,24.9
2019,CL_AREA.KG04,23.6
2007,CL_AREA.KG06,13.5
2008,CL_AREA.KG06,15.3
2009,CL_AREA.KG06,14.5
2010,CL_AREA.KG06,14.7
2011,CL_AREA.KG06,14.7
2012,CL_AREA.KG06,15.0
2013,CL_AREA.KG06,14.3
2014,CL_AREA.KG06,15.5
2015,CL_AREA.KG06,12.4
2016,CL_AREA.KG06,11.7
2017,CL_AREA.KG06,11.8
2018,CL_AREA.KG06,9.6
2019,CL_AREA.KG06,11.7
2007,CL_AREA.KG07,15.3
2008,CL_AREA.KG07,17.3
2009,CL_AREA.KG07,16.7
2010,CL_AREA.KG07,19.1
2011,CL_AREA.KG07,24.4
2012,CL_AREA.KG07,25.3
2013,CL_AREA.KG07,23.2
2014,CL_AREA.KG07,21.6
2015,CL_AREA.KG07,16.0
2016,CL_AREA.KG07,17.4
2017,CL_AREA.KG07,15.6
2018,CL_AREA.KG07,20.3
2019,CL_AREA.KG07,13.2
2007,CL_AREA.KG08,31.0
2008,CL_AREA.KG08,28.1
2009,CL_AREA.KG08,23.2
2010,CL_AREA.KG08,19.7
2011,CL_AREA.KG08,20.0
2012,CL_AREA.KG08,18.9
2013,CL_AREA.KG08,24.5
2014,CL_AREA.KG08,20.0
2015,CL_AREA.KG08,20.5
2016,CL_AREA.KG08,18.2
2017,CL_AREA.KG08,19.9
2018,CL_AREA.KG08,14.8
2019,CL_AREA.KG08,15.3
2007,CL_AREA.KG11,14.4
2008,CL_AREA.KG11,15.6
2009,CL_AREA.KG11,13.0
2010,CL_AREA.KG11,10.1
2011,CL_AREA.KG11,9.2
2012,CL_AREA.KG11,8.4
2013,CL_AREA.KG11,11.5
2014,CL_AREA.KG11,7.8
2015,CL_AREA.KG11,9.1
2016,CL_AREA.KG11,8.5
2017,CL_AREA.KG11,8.6
2018,CL_AREA.KG11,5.4
2019,CL_AREA.KG11,8.6
2007,CL_AREA.KG21,17.2
2008,CL_AREA.KG21,16.7
2009,CL_AREA.KG21,15.5
2010,CL_AREA.KG21,14.4
2011,CL_AREA.KG21,12.9
2012,CL_AREA.KG21,9.7
2013,CL_AREA.KG21,12.2
2014,CL_AREA.KG21,10.5
2015,CL_AREA.KG21,12.5
2016,CL_AREA.KG21,10.0
2017,CL_AREA.KG21,7.7
2018,CL_AREA.KG21,6.1
2019,CL_AREA.KG21,7.8
