Year,SERIES,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,GeoCode,Value
2018,SH_XPD_EARN10,,,,,,,,,51
2019,SH_XPD_EARN10,,,,,,,,,53
2020,SH_XPD_EARN10,,,,,,,,,48
2021,SH_XPD_EARN10,,,,,,,,,41
2022,SH_XPD_EARN10,,,,,,,,,46
2023,SH_XPD_EARN10,,,,,,,,,47
2024,SH_XPD_EARN10,,,,,,,,,47
2018,SH_XPD_EARN10,,,,U,,,,,42
2019,SH_XPD_EARN10,,,,U,,,,,48
2020,SH_XPD_EARN10,,,,U,,,,,48
2021,SH_XPD_EARN10,,,,U,,,,,38
2022,SH_XPD_EARN10,,,,U,,,,,42
2023,SH_XPD_EARN10,,,,U,,,,,60
2024,SH_XPD_EARN10,,,,U,,,,,54
2018,SH_XPD_EARN10,,,,R,,,,,57
2019,SH_XPD_EARN10,,,,R,,,,,55
2020,SH_XPD_EARN10,,,,R,,,,,48
2021,SH_XPD_EARN10,,,,R,,,,,42
2022,SH_XPD_EARN10,,,,R,,,,,48
2023,SH_XPD_EARN10,,,,R,,,,,40
2024,SH_XPD_EARN10,,,,R,,,,,41
2018,SH_XPD_EARN10,,M,,,,,,,49
2019,SH_XPD_EARN10,,M,,,,,,,48
2020,SH_XPD_EARN10,,M,,,,,,,46
2021,SH_XPD_EARN10,,M,,,,,,,37
2022,SH_XPD_EARN10,,M,,,,,,,43
2023,SH_XPD_EARN10,,M,,,,,,,44
2024,SH_XPD_EARN10,,M,,,,,,,43
2018,SH_XPD_EARN10,,F,,,,,,,54
2019,SH_XPD_EARN10,,F,,,,,,,56
2020,SH_XPD_EARN10,,F,,,,,,,50
2021,SH_XPD_EARN10,,F,,,,,,,44
2022,SH_XPD_EARN10,,F,,,,,,,48
2023,SH_XPD_EARN10,,F,,,,,,,50
2024,SH_XPD_EARN10,,F,,,,,,,50
2018,SH_XPD_EARN10,KG05,,,,,,,KG05,41
2019,SH_XPD_EARN10,KG05,,,,,,,KG05,42
2020,SH_XPD_EARN10,KG05,,,,,,,KG05,15
2021,SH_XPD_EARN10,KG05,,,,,,,KG05,17
2022,SH_XPD_EARN10,KG05,,,,,,,KG05,15
2023,SH_XPD_EARN10,KG05,,,,,,,KG05,22
2024,SH_XPD_EARN10,KG05,,,,,,,KG05,25
2018,SH_XPD_EARN10,KG03,,,,,,,KG03,30
2019,SH_XPD_EARN10,KG03,,,,,,,KG03,15
2020,SH_XPD_EARN10,KG03,,,,,,,KG03,3
2021,SH_XPD_EARN10,KG03,,,,,,,KG03,0
2022,SH_XPD_EARN10,KG03,,,,,,,KG03,2
2023,SH_XPD_EARN10,KG03,,,,,,,KG03,22
2024,SH_XPD_EARN10,KG03,,,,,,,KG03,26
2018,SH_XPD_EARN10,KG02,,,,,,,KG02,30
2019,SH_XPD_EARN10,KG02,,,,,,,KG02,28
2020,SH_XPD_EARN10,KG02,,,,,,,KG02,20
2021,SH_XPD_EARN10,KG02,,,,,,,KG02,26
2022,SH_XPD_EARN10,KG02,,,,,,,KG02,27
2023,SH_XPD_EARN10,KG02,,,,,,,KG02,19
2024,SH_XPD_EARN10,KG02,,,,,,,KG02,29
2018,SH_XPD_EARN10,KG04,,,,,,,KG04,105
2019,SH_XPD_EARN10,KG04,,,,,,,KG04,95
2020,SH_XPD_EARN10,KG04,,,,,,,KG04,82
2021,SH_XPD_EARN10,KG04,,,,,,,KG04,86
2022,SH_XPD_EARN10,KG04,,,,,,,KG04,58
2023,SH_XPD_EARN10,KG04,,,,,,,KG04,96
2024,SH_XPD_EARN10,KG04,,,,,,,KG04,78
2018,SH_XPD_EARN10,KG06,,,,,,,KG06,52
2019,SH_XPD_EARN10,KG06,,,,,,,KG06,64
2020,SH_XPD_EARN10,KG06,,,,,,,KG06,60
2021,SH_XPD_EARN10,KG06,,,,,,,KG06,48
2022,SH_XPD_EARN10,KG06,,,,,,,KG06,65
2023,SH_XPD_EARN10,KG06,,,,,,,KG06,32
2024,SH_XPD_EARN10,KG06,,,,,,,KG06,50
2018,SH_XPD_EARN10,KG07,,,,,,,KG07,19
2019,SH_XPD_EARN10,KG07,,,,,,,KG07,8
2020,SH_XPD_EARN10,KG07,,,,,,,KG07,3
2021,SH_XPD_EARN10,KG07,,,,,,,KG07,10
2022,SH_XPD_EARN10,KG07,,,,,,,KG07,12
2023,SH_XPD_EARN10,KG07,,,,,,,KG07,17
2024,SH_XPD_EARN10,KG07,,,,,,,KG07,1
2018,SH_XPD_EARN10,KG08,,,,,,,KG08,104
2019,SH_XPD_EARN10,KG08,,,,,,,KG08,119
2020,SH_XPD_EARN10,KG08,,,,,,,KG08,123
2021,SH_XPD_EARN10,KG08,,,,,,,KG08,103
2022,SH_XPD_EARN10,KG08,,,,,,,KG08,106
2023,SH_XPD_EARN10,KG08,,,,,,,KG08,109
2024,SH_XPD_EARN10,KG08,,,,,,,KG08,101
2018,SH_XPD_EARN10,KG11,,,,,,,KG11,28
2019,SH_XPD_EARN10,KG11,,,,,,,KG11,30
2020,SH_XPD_EARN10,KG11,,,,,,,KG11,53
2021,SH_XPD_EARN10,KG11,,,,,,,KG11,32
2022,SH_XPD_EARN10,KG11,,,,,,,KG11,41
2023,SH_XPD_EARN10,KG11,,,,,,,KG11,32
2024,SH_XPD_EARN10,KG11,,,,,,,KG11,32
2018,SH_XPD_EARN10,KG21,,,,,,,KG21,78
2019,SH_XPD_EARN10,KG21,,,,,,,KG21,86
2020,SH_XPD_EARN10,KG21,,,,,,,KG21,41
2021,SH_XPD_EARN10,KG21,,,,,,,KG21,55
2022,SH_XPD_EARN10,KG21,,,,,,,KG21,54
2023,SH_XPD_EARN10,KG21,,,,,,,KG21,133
2024,SH_XPD_EARN10,KG21,,,,,,,KG21,80
2018,SH_XPD_EARN10,,,Y0T5,,,,,,42
2019,SH_XPD_EARN10,,,Y0T5,,,,,,45
2020,SH_XPD_EARN10,,,Y0T5,,,,,,38
2021,SH_XPD_EARN10,,,Y0T5,,,,,,32
2022,SH_XPD_EARN10,,,Y0T5,,,,,,36
2023,SH_XPD_EARN10,,,Y0T5,,,,,,40
2024,SH_XPD_EARN10,,,Y0T5,,,,,,37
2018,SH_XPD_EARN10,,,Y7T14,,,,,,43
2019,SH_XPD_EARN10,,,Y7T14,,,,,,38
2020,SH_XPD_EARN10,,,Y7T14,,,,,,35
2021,SH_XPD_EARN10,,,Y7T14,,,,,,31
2022,SH_XPD_EARN10,,,Y7T14,,,,,,38
2023,SH_XPD_EARN10,,,Y7T14,,,,,,34
2024,SH_XPD_EARN10,,,Y7T14,,,,,,34
2018,SH_XPD_EARN10,,,Y15T28,,,,,,40
2019,SH_XPD_EARN10,,,Y15T28,,,,,,42
2020,SH_XPD_EARN10,,,Y15T28,,,,,,36
2021,SH_XPD_EARN10,,,Y15T28,,,,,,22
2022,SH_XPD_EARN10,,,Y15T28,,,,,,36
2023,SH_XPD_EARN10,,,Y15T28,,,,,,35
2024,SH_XPD_EARN10,,,Y15T28,,,,,,37
2018,SH_XPD_EARN10,,,Y29T62,,,,,,48
2019,SH_XPD_EARN10,,,Y29T62,,,,,,48
2020,SH_XPD_EARN10,,,Y29T62,,,,,,40
2021,SH_XPD_EARN10,,,Y29T62,,,,,,36
2022,SH_XPD_EARN10,,,Y29T62,,,,,,37
2023,SH_XPD_EARN10,,,Y29T62,,,,,,44
2024,SH_XPD_EARN10,,,Y29T62,,,,,,42
2018,SH_XPD_EARN10,,,Y_GE58,,,,,,116
2019,SH_XPD_EARN10,,,Y_GE58,,,,,,125
2020,SH_XPD_EARN10,,,Y_GE58,,,,,,129
2021,SH_XPD_EARN10,,,Y_GE58,,,,,,109
2022,SH_XPD_EARN10,,,Y_GE58,,,,,,109
2023,SH_XPD_EARN10,,,Y_GE58,,,,,,104
2024,SH_XPD_EARN10,,,Y_GE58,,,,,,99
2018,SH_XPD_EARN10,,,,,,ISCED11_1,,,44
2019,SH_XPD_EARN10,,,,,,ISCED11_1,,,39
2020,SH_XPD_EARN10,,,,,,ISCED11_1,,,38
2021,SH_XPD_EARN10,,,,,,ISCED11_1,,,34
2022,SH_XPD_EARN10,,,,,,ISCED11_1,,,38
2023,SH_XPD_EARN10,,,,,,ISCED11_1,,,37
2024,SH_XPD_EARN10,,,,,,ISCED11_1,,,36
2018,SH_XPD_EARN10,,,,,,ISCED11_2,,,59
2019,SH_XPD_EARN10,,,,,,ISCED11_2,,,71
2020,SH_XPD_EARN10,,,,,,ISCED11_2,,,72
2021,SH_XPD_EARN10,,,,,,ISCED11_2,,,52
2022,SH_XPD_EARN10,,,,,,ISCED11_2,,,59
2023,SH_XPD_EARN10,,,,,,ISCED11_2,,,67
2024,SH_XPD_EARN10,,,,,,ISCED11_2,,,57
2018,SH_XPD_EARN10,,,,,,ISCED11_3,,,51
