Year,REF_AREA,SEX,Value
2007,,,1.5
2008,,,1.9
2009,,,1.3
2010,,,0.9
2011,,,1.0
2012,,,1.1
2013,,,0.8
2014,,,0.8
2015,,,0.7
2016,,,0.8
2017,,,0.8
2018,,,0.8
2019,,,0.9
2020,,,0.8
2007,,F,0.9
2008,,F,1.4
2009,,F,0.8
2010,,F,0.6
2011,,F,0.4
2012,,F,0.7
2013,,F,0.5
2014,,F,0.3
2015,,F,0.3
2016,,F,0.4
2017,,F,0.4
2018,,F,0.5
2019,,F,0.5
2020,,F,0.6
2007,,M,2.2
2008,,M,2.4
2009,,M,1.8
2010,,M,1.2
2011,,M,1.6
2012,,M,1.6
2013,,M,1.2
2014,,M,1.3
2015,,M,1.2
2016,,M,1.1
2017,,M,1.2
2018,,M,1.1
2019,,M,1.3
2020,,M,1.0
2007,KG05,,0.9
2008,KG05,,0.2
2009,KG05,,1.6
2011,KG05,,0.4
2013,KG05,,0.6
2014,KG05,,0.2
2015,KG05,,1.6
2016,KG05,,0.2
2017,KG05,,1.6
2018,KG05,,0.8
2019,KG05,,3.2
2020,KG05,,2.4
2009,KG05,F,0.9
2013,KG05,F,0.9
2017,KG05,F,0.4
2018,KG05,F,0.8
2019,KG05,F,1.9
2020,KG05,F,1.1
2007,KG05,M,1.9
2008,KG05,M,0.5
2009,KG05,M,2.3
2011,KG05,M,0.9
2013,KG05,M,0.4
2014,KG05,M,0.4
2015,KG05,M,3.2
2016,KG05,M,0.4
2017,KG05,M,2.7
2018,KG05,M,0.8
2019,KG05,M,4.4
2020,KG05,M,3.6
2007,KG03,,0.2
2008,KG03,,0.2
2009,KG03,,0.9
2010,KG03,,0.6
2011,KG03,,0.3
2012,KG03,,0.5
2015,KG03,,0.1
2016,KG03,,0.1
2017,KG03,,0.5
2019,KG03,,0.4
2020,KG03,,0.5
2009,KG03,F,0.8
2010,KG03,F,0.6
2012,KG03,F,0.2
2019,KG03,F,0.3
2020,KG03,F,0.5
2007,KG03,M,0.4
2008,KG03,M,0.4
2009,KG03,M,1.0
2010,KG03,M,0.6
2011,KG03,M,0.6
2012,KG03,M,0.7
2015,KG03,M,0.2
2016,KG03,M,0.2
2017,KG03,M,1.0
2019,KG03,M,0.5
2020,KG03,M,0.5
2007,KG02,,2.8
2008,KG02,,3.7
2009,KG02,,2.5
2010,KG02,,1.4
2011,KG02,,1.8
2012,KG02,,0.7
2013,KG02,,1.5
2014,KG02,,2.4
2015,KG02,,0.2
2016,KG02,,1.3
2017,KG02,,1.0
2018,KG02,,0.8
2019,KG02,,0.6
2020,KG02,,1.0
2007,KG02,F,1.4
2008,KG02,F,3.2
2009,KG02,F,0.9
2010,KG02,F,0.9
2011,KG02,F,1.3
2012,KG02,F,0.4
2013,KG02,F,0.9
2014,KG02,F,0.4
2016,KG02,F,1.3
2017,KG02,F,0.4
2019,KG02,F,0.4
2020,KG02,F,0.8
2007,KG02,M,4.2
2008,KG02,M,4.2
2009,KG02,M,4.1
2010,KG02,M,1.8
2011,KG02,M,2.3
2012,KG02,M,0.9
