Year,REF_AREA,GeoCode,Value
2016-A1,,,96.5
2017-A1,,,97.8
2018-A1,,,99.1
2019-A1,,,96.0
2020-A1,,,96.5
2021-A1,,,97.8
2016-A1,KG05,KG05,97.9
2017-A1,KG05,KG05,99.1
2018-A1,KG05,KG05,96.5
2019-A1,KG05,KG05,98.8
2020-A1,KG05,KG05,98.5
2021-A1,KG05,KG05,97.9
2016-A1,KG03,KG03,94.4
2017-A1,KG03,KG03,97.1
2018-A1,KG03,KG03,97.6
2019-A1,KG03,KG03,95.1
2020-A1,KG03,KG03,96.8
2021-A1,KG03,KG03,96.8
2016-A1,KG02,KG02,95.8
2017-A1,KG02,KG02,97.1
2018-A1,KG02,KG02,99.4
2019-A1,KG02,KG02,91.1
2020-A1,KG02,KG02,92.3
2021-A1,KG02,KG02,97.0
2016-A1,KG04,KG04,94.9
2017-A1,KG04,KG04,93.7
2018-A1,KG04,KG04,95.5
2019-A1,KG04,KG04,94.7
2020-A1,KG04,KG04,96.6
2021-A1,KG04,KG04,95.5
2016-A1,KG06,KG06,92.4
2017-A1,KG06,KG06,94.8
2018-A1,KG06,KG06,94.2
2019-A1,KG06,KG06,96.1
2020-A1,KG06,KG06,96.3
2021-A1,KG06,KG06,97.1
2016-A1,KG07,KG07,95.3
2017-A1,KG07,KG07,94.7
2018-A1,KG07,KG07,95.5
2019-A1,KG07,KG07,95.7
2020-A1,KG07,KG07,94.7
2021-A1,KG07,KG07,96.0
2016-A1,KG08,KG08,98.0
2017-A1,KG08,KG08,97.5
2018-A1,KG08,KG08,99.4
2019-A1,KG08,KG08,89.0
2020-A1,KG08,KG08,94.7
2021-A1,KG08,KG08,97.6
2016-A1,KG11,KG11,104.91
2017-A1,KG11,KG11,105.21
2018-A1,KG11,KG11,110.61
2019-A1,KG11,KG11,104.01
2020-A1,KG11,KG11,98.8
2021-A1,KG11,KG11,100.0
2016-A1,KG21,KG21,95.4
2017-A1,KG21,KG21,117.51
2018-A1,KG21,KG21,106.51
2019-A1,KG21,KG21,103.71
2020-A1,KG21,KG21,98.8
2021-A1,KG21,KG21,101.0
