Year,Показатель,Местность,Территория,Возраст,Образование матери,Функциональные трудности у ребенка,Функциональные трудности у матери,Квинтиль индекса благосостояния,Value
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,,57.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",городская,,,,,,,66.7
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",сельская,,,,,,,53.8
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Баткенская область,,,,,,66.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Джалал-Абадская область,,,,,,50.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Иссык-Кульская область,,,,,,65.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Нарынская область,,,,,,39.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Ошская область,,,,,,55.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Таласская область,,,,,,65.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,Чуйская область,,,,,,49.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Бишкек,,,,,,74.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,г. Ош,,,,,,72.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,В возрасте посещения 2-го/3-го класса,,,,,47.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,8 лет,,,,,43.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,9 лет,,,,,52.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 4-й класс,,,,,58.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,Посещающие 9-й класс,,,,,78.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,основное общее,,,,51.7
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,среднее общее,,,,55.2
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,профессиональное начальное/среднее,,,,59.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,высшее,,,,64.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Есть,,,42.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,Нет,,,59.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Есть,,43.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Нет,,57.8
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,Нет информации,,61.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,беднейший,53.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,второй,52.1
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,средний,52.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,четвертый,60.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки чтения",,,,,,,богатейший,76.6
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,,,,,,,51.3
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",городская,,,,,,,56.4
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",сельская,,,,,,,49.0
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Баткенская область,,,,,,66.7
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Джалал-Абадская область,,,,,,42.9
2018,"Процентная доля детей в возрасте от 7 до 14 лет, кто успешно выполнил три задания на основополагающие умения и навыки счета",,Иссык-Кульская область,,,,,,54.5
