Year,SEX,AGE,EDUCATION_LEV,Value
2010,,Y15T17,AGG_3_4,9.0
2013,,Y15T17,AGG_3_4,9.4
2014,,Y15T17,AGG_3_4,9.3
2015,,Y15T17,AGG_3_4,9.5
2016,,Y15T17,AGG_3_4,10.4
2017,,Y15T17,AGG_3_4,10.9
2018,,Y15T17,AGG_3_4,10.1
2019,,Y15T17,AGG_3_4,10.0
2010,F,Y15T17,AGG_3_4,5.4
2013,F,Y15T17,AGG_3_4,6.0
2014,F,Y15T17,AGG_3_4,5.6
2015,F,Y15T17,AGG_3_4,5.8
2016,F,Y15T17,AGG_3_4,6.3
2017,F,Y15T17,AGG_3_4,6.9
2018,F,Y15T17,AGG_3_4,6.2
2019,F,Y15T17,AGG_3_4,6.2
2010,M,Y15T17,AGG_3_4,12.5
2013,M,Y15T17,AGG_3_4,12.6
2014,M,Y15T17,AGG_3_4,12.9
2015,M,Y15T17,AGG_3_4,13.1
2016,M,Y15T17,AGG_3_4,14.3
2017,M,Y15T17,AGG_3_4,14.7
2018,M,Y15T17,AGG_3_4,13.9
2019,M,Y15T17,AGG_3_4,13.7
2010,,Y17T20,ISCED11_5,13.6
2013,,Y17T20,ISCED11_5,20.3
2014,,Y17T20,ISCED11_5,21.8
2015,,Y17T20,ISCED11_5,21.1
2016,,Y17T20,ISCED11_5,22.0
2017,,Y17T20,ISCED11_5,22.8
2018,,Y17T20,ISCED11_5,23.1
2019,,Y17T20,ISCED11_5,23.1
2010,F,Y17T20,ISCED11_5,16.0
2013,F,Y17T20,ISCED11_5,23.8
2014,F,Y17T20,ISCED11_5,24.3
2015,F,Y17T20,ISCED11_5,24.2
2016,F,Y17T20,ISCED11_5,25.2
2017,F,Y17T20,ISCED11_5,26.4
2018,F,Y17T20,ISCED11_5,26.4
2019,F,Y17T20,ISCED11_5,26.5
2010,M,Y17T20,ISCED11_5,11.2
2013,M,Y17T20,ISCED11_5,16.8
2014,M,Y17T20,ISCED11_5,18.0
2015,M,Y17T20,ISCED11_5,18.0
2016,M,Y17T20,ISCED11_5,18.8
2017,M,Y17T20,ISCED11_5,19.3
2018,M,Y17T20,ISCED11_5,19.9
2019,M,Y17T20,ISCED11_5,19.8
2010,,Y17T24,ISCED11_6_7,24.3
2013,,Y17T24,ISCED11_6_7,24.3
2014,,Y17T24,ISCED11_6_7,23.8
2015,,Y17T24,ISCED11_6_7,22.6
2016,,Y17T24,ISCED11_6_7,20.2
2017,,Y17T24,ISCED11_6_7,19.1
2018,,Y17T24,ISCED11_6_7,19.8
2019,,Y17T24,ISCED11_6_7,22.1
2010,F,Y17T24,ISCED11_6_7,26.3
2013,F,Y17T24,ISCED11_6_7,26.7
2014,F,Y17T24,ISCED11_6_7,26.5
2015,F,Y17T24,ISCED11_6_7,24.6
2016,F,Y17T24,ISCED11_6_7,22.2
2017,F,Y17T24,ISCED11_6_7,20.6
2018,F,Y17T24,ISCED11_6_7,21.3
2019,F,Y17T24,ISCED11_6_7,23.5
2010,M,Y17T24,ISCED11_6_7,22.4
2013,M,Y17T24,ISCED11_6_7,21.8
2014,M,Y17T24,ISCED11_6_7,21.2
2015,M,Y17T24,ISCED11_6_7,20.6
2016,M,Y17T24,ISCED11_6_7,18.3
2017,M,Y17T24,ISCED11_6_7,17.4
2018,M,Y17T24,ISCED11_6_7,18.3
2019,M,Y17T24,ISCED11_6_7,20.8
