Year,concept.AGE,concept.COMPOSITE_BREAKDOWN,Value
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTCMFL,23.8
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTCPT,23.4
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTATCH,21.2
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTSSHT,13.6
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTCDV,7.3
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTSFWR,7.5
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTPST,13.2
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTTRFF,12.1
2018,CL_AGE.Y15T24,CL_COMP_BREAKDOWN.SKILL_ICTPRGM,3.2
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTCMFL,17.1
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTCPT,16.9
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTATCH,15.4
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTSSHT,9.7
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTCDV,6.2
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTSFWR,5.8
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTPST,8.9
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTTRFF,8.4
2018,CL_AGE.Y15T49,CL_COMP_BREAKDOWN.SKILL_ICTPRGM,2.0
