Year,SEX,AGE,EDUCATION_LEV,COMPOSITE_BREAKDOWN,Value
2009,,,,,2093
2010,,,,,1789
2011,,,,,1809
2012,,,,,2415
2013,,,,,2339
2014,,,,,2629
2015,,,,,3333
2016,,,,,7005
2017,,,,,7323
2018,,,,,7178
2019,,,,,6145
2009,F,,,,1927
2010,F,,,,1659
2011,F,,,,1714
2012,F,,,,2341
2013,F,,,,2269
2014,F,,,,2531
2015,F,,,,3229
2016,F,,,,6795
2017,F,,,,6966
2018,F,,,,6562
2019,F,,,,5659
2009,M,,,,166
2010,M,,,,130
2011,M,,,,95
2012,M,,,,74
2013,M,,,,70
2014,M,,,,98
2015,M,,,,104
2016,M,,,,210
2017,M,,,,357
2018,M,,,,616
2019,M,,,,486
2009,,Y0T20,,,126
2010,,Y0T20,,,212
2011,,Y0T20,,,37
2012,,Y0T20,,,92
2013,,Y0T20,,,73
2014,,Y0T20,,,100
2015,,Y0T20,,,134
2016,,Y0T20,,,533
2017,,Y0T20,,,394
2018,,Y0T20,,,250
2019,,Y0T20,,,561
2009,,Y21T30,,,738
2010,,Y21T30,,,634
2011,,Y21T30,,,476
2012,,Y21T30,,,654
2013,,Y21T30,,,678
2014,,Y21T30,,,837
2015,,Y21T30,,,1054
2016,,Y21T30,,,2085
2017,,Y21T30,,,1888
2018,,Y21T30,,,2108
2019,,Y21T30,,,1879
2009,,Y31T40,,,762
2010,,Y31T40,,,552
2011,,Y31T40,,,687
2012,,Y31T40,,,1108
2013,,Y31T40,,,957
2014,,Y31T40,,,904
2015,,Y31T40,,,1264
2016,,Y31T40,,,2422
2017,,Y31T40,,,2531
2018,,Y31T40,,,2385
2019,,Y31T40,,,1974
2009,,Y41T50,,,336
2010,,Y41T50,,,283
2011,,Y41T50,,,461
2012,,Y41T50,,,424
2013,,Y41T50,,,463
2014,,Y41T50,,,482
2015,,Y41T50,,,625
2016,,Y41T50,,,1435
2017,,Y41T50,,,1496
2018,,Y41T50,,,1550
2019,,Y41T50,,,1121
2009,,Y_GE51,,,131
2010,,Y_GE51,,,108
2011,,Y_GE51,,,148
