Year,REF_AREA,SEX,AGE,URBANISATION,INCOME_WEALTH_QUANTILE,EDUCATION_LEV,Value
2018,,,Y_GE15,,,,91.8
2019,,,Y_GE15,,,,912.0
2020,,,Y_GE15,,,,926.0
2018,,,Y_GE15,U,,,94.9
2019,,,Y_GE15,U,,,956.0
2020,,,Y_GE15,U,,,960.0
2018,,,Y_GE15,R,,,89.9
2019,,,Y_GE15,R,,,886.0
2020,,,Y_GE15,R,,,905.0
2018,,M,Y_GE15,,,,92.8
2019,,M,Y_GE15,,,,921.0
2020,,M,Y_GE15,,,,932.0
2018,,F,Y_GE15,,,,910.0
2019,,F,Y_GE15,,,,904.0
2020,,F,Y_GE15,,,,920.0
2018,KG05,,Y_GE15,,,,911.0
2019,KG05,,Y_GE15,,,,925.0
2020,KG05,,Y_GE15,,,,935.0
2018,KG03,,Y_GE15,,,,906.0
2019,KG03,,Y_GE15,,,,830.0
2020,KG03,,Y_GE15,,,,835.0
2018,KG02,,Y_GE15,,,,921.0
2019,KG02,,Y_GE15,,,,934.0
2020,KG02,,Y_GE15,,,,952.0
2018,KG04,,Y_GE15,,,,894.0
2019,KG04,,Y_GE15,,,,892.0
2020,KG04,,Y_GE15,,,,922.0
2018,KG06,,Y_GE15,,,,876.0
2019,KG06,,Y_GE15,,,,893.0
2020,KG06,,Y_GE15,,,,932.0
2018,KG07,,Y_GE15,,,,915.0
2019,KG07,,Y_GE15,,,,909.0
2020,KG07,,Y_GE15,,,,926.0
2018,KG08,,Y_GE15,,,,946.0
2019,KG08,,Y_GE15,,,,959.0
2020,KG08,,Y_GE15,,,,960.0
2018,KG11,,Y_GE15,,,,970.0
2019,KG11,,Y_GE15,,,,973.0
2020,KG11,,Y_GE15,,,,979.0
2018,KG21,,Y_GE15,,,,883.0
2019,KG21,,Y_GE15,,,,918.0
2020,KG21,,Y_GE15,,,,919.0
2018,,,Y15T28,,,,90.9
2019,,,Y15T28,,,,894.0
2020,,,Y15T28,,,,901.0
2018,,,Y29T62,,,,95.9
2019,,,Y29T62,,,,953.0
2020,,,Y29T62,,,,961.0
2018,,,Y_GE58,,,,78.8
2019,,,Y_GE58,,,,806.0
2020,,,Y_GE58,,,,856.0
2018,,,Y_GE15,,,ISCED11_1,581.0
2019,,,Y_GE15,,,ISCED11_1,607.0
2020,,,Y_GE15,,,ISCED11_1,687.0
2018,,,Y_GE15,,,ISCED11_2,840.0
2019,,,Y_GE15,,,ISCED11_2,827.0
2020,,,Y_GE15,,,ISCED11_2,856.0
2018,,,Y_GE15,,,ISCED11_3,928.0
2019,,,Y_GE15,,,ISCED11_3,920.0
2020,,,Y_GE15,,,ISCED11_3,929.0
2018,,,Y_GE15,,,ISCED11_4,964.0
2019,,,Y_GE15,,,ISCED11_4,960.0
2020,,,Y_GE15,,,ISCED11_4,968.0
2018,,,Y_GE15,,,ISCED11_6_7,981.0
2019,,,Y_GE15,,,ISCED11_6_7,975.0
2020,,,Y_GE15,,,ISCED11_6_7,984.0
2018,,,Y_GE15,,Q1,,889.0
2019,,,Y_GE15,,Q1,,862.0
2018,,,Y_GE15,,Q2,,902.0
2019,,,Y_GE15,,Q2,,909.0
2018,,,Y_GE15,,Q3,,919.0
2019,,,Y_GE15,,Q3,,905.0
2018,,,Y_GE15,,Q4,,919.0
2019,,,Y_GE15,,Q4,,933.0
2018,,,Y_GE15,,Q5,,946.0
2019,,,Y_GE15,,Q5,,934.0
