Year,concept.REF_AREA,concept.URBANISATION,concept.INCOME_WEALTH_QUANTILE,concept.EDUCATION_LEV,Value
2018,,,,,96.3
2018,,CL_URBANISATION.U,,,96.1
2018,,CL_URBANISATION.R,,,96.5
2018,CL_AREA.KG05,,,,99.6
2018,CL_AREA.KG03,,,,93.4
2018,CL_AREA.KG02,,,,99.1
2018,CL_AREA.KG04,,,,99.4
2018,CL_AREA.KG06,,,,99.1
2018,CL_AREA.KG07,,,,99.8
2018,CL_AREA.KG08,,,,91.6
2018,CL_AREA.KG11,,,,95.7
2018,CL_AREA.KG21,,,,96.8
2018,,,,CL_EDUCATION_LEV.ISCED11_1,92.1
2018,,,,CL_EDUCATION_LEV.ISCED11_2,94.7
2018,,,,CL_EDUCATION_LEV.ISCED11_3,97.4
2018,,,,CL_EDUCATION_LEV.ISCED11_4,96.6
2018,,,,CL_EDUCATION_LEV.ISCED11_5,95.1
2018,,,CL_QUANTILE.Q1,,97.2
2018,,,CL_QUANTILE.Q2,,95.9
2018,,,CL_QUANTILE.Q3,,96.5
2018,,,CL_QUANTILE.Q4,,96.4
2018,,,CL_QUANTILE.Q5,,95.7
