Year,SERIES,REF_AREA,UNIT_MEASURE,GeoCode,Value
2010,_L_KG_060401_2A,,M_M3_PER_YR,,1768.0
2011,_L_KG_060401_2A,,M_M3_PER_YR,,1877.1
2012,_L_KG_060401_2A,,M_M3_PER_YR,,1955.3
2013,_L_KG_060401_2A,,M_M3_PER_YR,,1873.3
2014,_L_KG_060401_2A,,M_M3_PER_YR,,2029.8
2015,_L_KG_060401_2A,,M_M3_PER_YR,,2092.3
2016,_L_KG_060401_2A,,M_M3_PER_YR,,1841.6
2017,_L_KG_060401_2A,,M_M3_PER_YR,,2128.3
2018,_L_KG_060401_2A,,M_M3_PER_YR,,2085.2
2019,_L_KG_060401_2A,,M_M3_PER_YR,,2242.8
2020,_L_KG_060401_2A,,M_M3_PER_YR,,2198.7
2021,_L_KG_060401_2A,,M_M3_PER_YR,,2148.2
2022,_L_KG_060401_2A,,M_M3_PER_YR,,2388.0
2010,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,116.2
2011,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,118.7
2012,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,92.6
2013,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,92.6
2014,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,4.3
2015,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,114.7
2016,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,114.5
2017,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,105.8
2018,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,101.1
2019,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,104.8
2020,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,132.7
2021,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,109.5
2022,_L_KG_060401_2A,KG05,M_M3_PER_YR,KG05,103.2
2010,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,189.7
2011,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,218.9
2012,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,451.3
2013,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,451.3
2014,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,350.0
2015,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,208.1
2016,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,200.6
2017,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,214.7
2018,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,186.3
2019,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,254.4
2020,_L_KG_060401_2A,KG03,M_M3_PER_YR,KG03,242.9
