Year,concept.REF_AREA,concept.COMPOSITE_BREAKDOWN,Value
2010,,,7562.0
2011,,,8634.0
2012,,,9544.4
2013,,,8326.8
2014,,,7658.0
2015,,,7569.0
2016,,,7333.7
2017,,,7657.8
2018,,,7758.0
2012,,CL_COMP_BREAKDOWN._L_WS_NATURAL,9319.3
2013,,CL_COMP_BREAKDOWN._L_WS_NATURAL,8218.9
2014,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7432.4
2015,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7225.2
2016,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7125.0
2017,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7433.2
2018,,CL_COMP_BREAKDOWN._L_WS_NATURAL,7513.0
2010,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,324.1
2011,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,201.3
2012,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,224.9
2013,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,107.9
2014,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,225.6
2015,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,343.8
2016,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,208.7
2017,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,224.6
2018,,CL_COMP_BREAKDOWN._L_WS_AQUIFER,245.0
2010,CL_AREA.KG05,,577.7
2011,CL_AREA.KG05,,586.7
2012,CL_AREA.KG05,,570.2
2013,CL_AREA.KG05,,967.7
2014,CL_AREA.KG05,,615.1
2015,CL_AREA.KG05,,643.1
2016,CL_AREA.KG05,,645.2
2017,CL_AREA.KG05,,632.8
2018,CL_AREA.KG05,,647.7
2010,CL_AREA.KG03,,695.2
2011,CL_AREA.KG03,,1197.2
2012,CL_AREA.KG03,,716.6
2013,CL_AREA.KG03,,716.6
2014,CL_AREA.KG03,,781.4
2015,CL_AREA.KG03,,985.7
2016,CL_AREA.KG03,,948.9
2017,CL_AREA.KG03,,936.2
2018,CL_AREA.KG03,,926.6
2010,CL_AREA.KG02,,555.3
2011,CL_AREA.KG02,,905.6
2012,CL_AREA.KG02,,966.4
2013,CL_AREA.KG02,,628.3
2014,CL_AREA.KG02,,628.5
2015,CL_AREA.KG02,,578.9
2016,CL_AREA.KG02,,524.6
2017,CL_AREA.KG02,,623.7
2018,CL_AREA.KG02,,621.1
2010,CL_AREA.KG04,,592.3
2011,CL_AREA.KG04,,590.7
2012,CL_AREA.KG04,,636.4
2013,CL_AREA.KG04,,644.2
2014,CL_AREA.KG04,,607.7
2015,CL_AREA.KG04,,620.5
2016,CL_AREA.KG04,,607.7
2017,CL_AREA.KG04,,614.8
2018,CL_AREA.KG04,,642.3
2010,CL_AREA.KG06,,1290.3
2011,CL_AREA.KG06,,1160.5
2012,CL_AREA.KG06,,1439.2
2013,CL_AREA.KG06,,1392.6
2014,CL_AREA.KG06,,1133.0
2015,CL_AREA.KG06,,1190.1
2016,CL_AREA.KG06,,1125.2
2017,CL_AREA.KG06,,1183.5
2018,CL_AREA.KG06,,1144.2
2010,CL_AREA.KG07,,828.8
2011,CL_AREA.KG07,,884.7
2012,CL_AREA.KG07,,904.0
2013,CL_AREA.KG07,,938.2
2014,CL_AREA.KG07,,882.9
2015,CL_AREA.KG07,,1011.8
2016,CL_AREA.KG07,,944.0
2017,CL_AREA.KG07,,991.6
2018,CL_AREA.KG07,,963.3
2010,CL_AREA.KG08,,2803.6
2011,CL_AREA.KG08,,3138.1
2012,CL_AREA.KG08,,4140.0
2013,CL_AREA.KG08,,3039.3
2014,CL_AREA.KG08,,2833.6
2015,CL_AREA.KG08,,2368.2
2016,CL_AREA.KG08,,2367.9
2017,CL_AREA.KG08,,2500.5
2018,CL_AREA.KG08,,2634.0
2010,CL_AREA.KG11,,135.9
2011,CL_AREA.KG11,,113.4
2012,CL_AREA.KG11,,114.5
2013,CL_AREA.KG11,,115.7
2014,CL_AREA.KG11,,118.8
2015,CL_AREA.KG11,,113.7
2016,CL_AREA.KG11,,113.2
2017,CL_AREA.KG11,,117.7
2018,CL_AREA.KG11,,121.8
2010,CL_AREA.KG21,,82.9
2011,CL_AREA.KG21,,57.1
2012,CL_AREA.KG21,,57.1
2013,CL_AREA.KG21,,57.1
2014,CL_AREA.KG21,,57.1
2015,CL_AREA.KG21,,57.1
2016,CL_AREA.KG21,,57.0
2017,CL_AREA.KG21,,57.0
2018,CL_AREA.KG21,,57.0
