Year,UNIT_MULT,SERIES,ACTIVITY,UNIT_MEASURE,Value
2007,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,87.7
2008,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,59.8
2009,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,49.9
2010,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,47.7
2011,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,43.3
2012,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,43.7
2013,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,38.5
2014,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,36.9
2015,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,31.5
2016,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,27.9
2017,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,26.9
2018,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,26.3
2019,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,24.41
2020,0,_L_KG_070301_2A,,_L_KWH_MN_KGS,25.6
2007,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,20.5
2008,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,15.0
2009,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,15.6
2010,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,14.3
2011,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,14.3
2012,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,14.7
2013,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,14.9
2014,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,12.9
2015,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,16.1
2016,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,15.8
2017,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,16.3
2018,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,15.8
2019,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,14.32
2020,3,_L_KG_070301_2A,ISIC4_A,_L_TH_KWH_MN_KGS,13.073527
2007,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,71.8
2008,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,46.0
2009,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,40.1
2010,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,33.1
2011,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,30.0
2012,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,41.2
2013,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,35.0
2014,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,43.0
2015,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,31.8
2016,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,26.3
2017,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,25.0
2018,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,25.5
2019,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,23.61
2020,3,_L_KG_070301_2A,ISIC4_BTE,_L_TH_KWH_MN_KGS,21.941291
2007,6,_L_KG_070301_2B,,_L_KWH,158.9
2008,6,_L_KG_070301_2B,,_L_KWH,146.9
2009,6,_L_KG_070301_2B,,_L_KWH,168.8
2010,6,_L_KG_070301_2B,,_L_KWH,180.5
2011,6,_L_KG_070301_2B,,_L_KWH,174.7
2012,6,_L_KG_070301_2B,,_L_KWH,155.2
2013,6,_L_KG_070301_2B,,_L_KWH,160.3
2014,6,_L_KG_070301_2B,,_L_KWH,130.9
2015,6,_L_KG_070301_2B,,_L_KWH,207.6
2016,6,_L_KG_070301_2B,,_L_KWH,248.3
2017,6,_L_KG_070301_2B,,_L_KWH,260.3
2018,6,_L_KG_070301_2B,,_L_KWH,202.9
2019,6,_L_KG_070301_2B,,_L_KWH,200.5
2020,6,_L_KG_070301_2B,,_L_KWH,196.6
