Year,Series,Value
2007,FB_CBK_BRCH,6.107469
2008,FB_CBK_BRCH,6.545429
2009,FB_CBK_BRCH,6.616596
2010,FB_CBK_BRCH,5.693049
2011,FB_CBK_BRCH,6.772418
2012,FB_CBK_BRCH,7.28108
2013,FB_CBK_BRCH,7.394386
2014,FB_CBK_BRCH,7.425508
2015,FB_CBK_BRCH,7.827334
2016,FB_CBK_BRCH,7.94841
2017,FB_CBK_BRCH,7.710477
2018,FB_CBK_BRCH,7.640969
2019,FB_CBK_BRCH,7.566574
2007,FB_ATM_TOTL,2.471394
2008,FB_ATM_TOTL,4.888003
2009,FB_ATM_TOTL,8.720619
2010,FB_ATM_TOTL,7.554757
2011,FB_ATM_TOTL,12.265008
2012,FB_ATM_TOTL,15.97647
2013,FB_ATM_TOTL,21.075288
2014,FB_ATM_TOTL,25.292345
2015,FB_ATM_TOTL,30.81078
2016,FB_ATM_TOTL,31.891768
2017,FB_ATM_TOTL,34.153303
2018,FB_ATM_TOTL,37.681164
2019,FB_ATM_TOTL,40.105182
