Year,concept.SEX,concept.AGE,concept.URBANISATION,concept.ACTIVITY,Value
2007,,,,,1514.8
2008,,,,,1559.6
2009,,,,,1592.9
2010,,,,,1589.7
2011,,,,,1603.9
2012,,,,,1602.8
2013,,,,,1629.1
2014,,,,,1653.0
2015,,,,,1686.4
2016,,,,,1683.0
2017,,,,,1611.3
2018,,,,,1686.9
2007,CL_SEX.M,,,,928.9
2008,CL_SEX.M,,,,936.1
2009,CL_SEX.M,,,,983.6
2010,CL_SEX.M,,,,993.8
2011,CL_SEX.M,,,,999.9
2012,CL_SEX.M,,,,1008.4
2013,CL_SEX.M,,,,1044.3
2014,CL_SEX.M,,,,1040.6
2015,CL_SEX.M,,,,1077.9
2016,CL_SEX.M,,,,1095.7
2017,CL_SEX.M,,,,1074.4
2018,CL_SEX.M,,,,1131.7
2007,CL_SEX.F,,,,585.9
2008,CL_SEX.F,,,,623.5
2009,CL_SEX.F,,,,609.4
2010,CL_SEX.F,,,,595.9
2011,CL_SEX.F,,,,604.0
2012,CL_SEX.F,,,,594.4
2013,CL_SEX.F,,,,584.8
2014,CL_SEX.F,,,,612.3
2015,CL_SEX.F,,,,608.5
2016,CL_SEX.F,,,,587.3
2017,CL_SEX.F,,,,536.9
2018,CL_SEX.F,,,,555.2
2007,,CL_AGE.Y15T19,,,129.7
2008,,CL_AGE.Y15T19,,,130.2
2009,,CL_AGE.Y15T19,,,139.2
2010,,CL_AGE.Y15T19,,,128.9
2011,,CL_AGE.Y15T19,,,120.5
2012,,CL_AGE.Y15T19,,,109.0
2013,,CL_AGE.Y15T19,,,126.1
2014,,CL_AGE.Y15T19,,,108.0
2015,,CL_AGE.Y15T19,,,101.7
2016,,CL_AGE.Y15T19,,,85.0
2017,,CL_AGE.Y15T19,,,71.1
2018,,CL_AGE.Y15T19,,,76.5
2007,,CL_AGE.Y20T29,,,463.8
2008,,CL_AGE.Y20T29,,,485.6
2009,,CL_AGE.Y20T29,,,492.5
2010,,CL_AGE.Y20T29,,,500.9
2011,,CL_AGE.Y20T29,,,502.9
2012,,CL_AGE.Y20T29,,,497.3
2013,,CL_AGE.Y20T29,,,523.0
2014,,CL_AGE.Y20T29,,,516.5
2015,,CL_AGE.Y20T29,,,516.1
2016,,CL_AGE.Y20T29,,,518.7
2017,,CL_AGE.Y20T29,,,499.3
2018,,CL_AGE.Y20T29,,,500.7
2007,,CL_AGE.Y30T39,,,408.9
2008,,CL_AGE.Y30T39,,,416.3
2009,,CL_AGE.Y30T39,,,408.1
2010,,CL_AGE.Y30T39,,,406.5
2011,,CL_AGE.Y30T39,,,403.8
2012,,CL_AGE.Y30T39,,,397.8
2013,,CL_AGE.Y30T39,,,411.3
2014,,CL_AGE.Y30T39,,,437.4
2015,,CL_AGE.Y30T39,,,449.1
2016,,CL_AGE.Y30T39,,,446.8
2017,,CL_AGE.Y30T39,,,447.3
2018,,CL_AGE.Y30T39,,,463.0
2007,,CL_AGE.Y40T49,,,328.7
2008,,CL_AGE.Y40T49,,,335.8
2009,,CL_AGE.Y40T49,,,343.1
2010,,CL_AGE.Y40T49,,,336.4
2011,,CL_AGE.Y40T49,,,341.3
2012,,CL_AGE.Y40T49,,,356.0
2013,,CL_AGE.Y40T49,,,348.4
2014,,CL_AGE.Y40T49,,,352.0
2015,,CL_AGE.Y40T49,,,361.7
2016,,CL_AGE.Y40T49,,,371.4
2017,,CL_AGE.Y40T49,,,344.5
2018,,CL_AGE.Y40T49,,,367.3
2007,,CL_AGE.Y50T59,,,149.3
2008,,CL_AGE.Y50T59,,,154.0
2009,,CL_AGE.Y50T59,,,168.4
2010,,CL_AGE.Y50T59,,,174.3
2011,,CL_AGE.Y50T59,,,187.7
2012,,CL_AGE.Y50T59,,,194.5
2013,,CL_AGE.Y50T59,,,181.4
2014,,CL_AGE.Y50T59,,,197.0
2015,,CL_AGE.Y50T59,,,207.4
2016,,CL_AGE.Y50T59,,,209.4
2017,,CL_AGE.Y50T59,,,204.3
2018,,CL_AGE.Y50T59,,,222.7
2007,,CL_AGE.Y65T69,,,26.0
2008,,CL_AGE.Y65T69,,,29.0
2009,,CL_AGE.Y65T69,,,29.7
2010,,CL_AGE.Y65T69,,,32.3
2011,,CL_AGE.Y65T69,,,36.5
2012,,CL_AGE.Y65T69,,,38.0
2013,,CL_AGE.Y65T69,,,31.5
2014,,CL_AGE.Y65T69,,,35.3
2015,,CL_AGE.Y65T69,,,43.5
2016,,CL_AGE.Y65T69,,,45.4
2017,,CL_AGE.Y65T69,,,40.5
2018,,CL_AGE.Y65T69,,,52.6
2007,,CL_AGE.Y_GE70,,,8.5
2008,,CL_AGE.Y_GE70,,,8.7
2009,,CL_AGE.Y_GE70,,,11.8
2010,,CL_AGE.Y_GE70,,,10.4
2011,,CL_AGE.Y_GE70,,,11.1
2012,,CL_AGE.Y_GE70,,,10.1
