Year,UNIT_MULT,SERIES,COMPOSITE_BREAKDOWN,UNIT_MEASURE,Value
2010,6,IS_RDP_PFVOL,,NUMBER,8122.4
2014,6,IS_RDP_PFVOL,,NUMBER,10776.8
2015,6,IS_RDP_PFVOL,,NUMBER,11012.5
2016,6,IS_RDP_PFVOL,,NUMBER,11333.6
2017,6,IS_RDP_PFVOL,,NUMBER,12279.3
2018,6,IS_RDP_PFVOL,,NUMBER,12516.2
2019,6,IS_RDP_PFVOL,,NUMBER,13135.1
2020,6,IS_RDP_PFVOL,,NUMBER,7381.8
2010,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,98.7
2014,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,42.9
2015,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,40.8
2016,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,40.8
2017,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,43.4
2018,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,35.0
2019,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,37.1
2020,6,IS_RDP_PFVOL,MOT_RAI,NUMBER,6.8
2010,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,6810.0
2014,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,8000.0
2015,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,8410.4
2016,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,8839.3
2017,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,8931.5
2018,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,9305.6
2019,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,10490.2
2020,6,IS_RDP_PFVOL,MOT_BUS,NUMBER,6035.6
2010,6,IS_RDP_PFVOL,MOT_TRO,NUMBER,100.9
2014,6,IS_RDP_PFVOL,MOT_TRO,NUMBER,82.5
2015,6,IS_RDP_PFVOL,MOT_TRO,NUMBER,95.6
2016,6,IS_RDP_PFVOL,MOT_TRO,NUMBER,106.1
2017,6,IS_RDP_PFVOL,MOT_TRO,NUMBER,120.1
2018,6,IS_RDP_PFVOL,MOT_TRO,NUMBER,137.1
2019,6,IS_RDP_PFVOL,MOT_TRO,NUMBER,148.8
