Year,Value,SERIES
2007,10.1,_L_KG_010301_1C3
2008,10.6,_L_KG_010301_1C3
2009,10.527481,_L_KG_010301_1C3
2010,10.608791,_L_KG_010301_1C3
2011,10.838101,_L_KG_010301_1C3
2012,11.043937,_L_KG_010301_1C3
2013,10.825698,_L_KG_010301_1C3
2014,10.759191,_L_KG_010301_1C3
2015,10.746011,_L_KG_010301_1C3
2016,10.768411,_L_KG_010301_1C3
2017,10.760094,_L_KG_010301_1C3
2018,10.874701,_L_KG_010301_1C3
2019,10.95936,_L_KG_010301_1C3
2020,11.086874,_L_KG_010301_1C3
2021,11.239761,_L_KG_010301_1C3
2007,8.277782,_L_KG_010301_1C1
2008,6.836681,_L_KG_010301_1C1
2009,6.915016,_L_KG_010301_1C1
2010,6.6,_L_KG_010301_1C1
2011,6.879721,_L_KG_010301_1C1
2012,6.187625,_L_KG_010301_1C1
2013,5.8,_L_KG_010301_1C1
2014,5.3,_L_KG_010301_1C1
2015,5.1,_L_KG_010301_1C1
2016,4.5,_L_KG_010301_1C1
2017,4.7,_L_KG_010301_1C1
2018,4.5,_L_KG_010301_1C1
2019,4.7,_L_KG_010301_1C1
2020,5.1,_L_KG_010301_1C1
2021,5.328736,_L_KG_010301_1C1
2007,1.124026,_L_KG_010301_1C2
2008,1.150702,_L_KG_010301_1C2
2009,1.176048,_L_KG_010301_1C2
2010,1.2,_L_KG_010301_1C2
2011,1.287183,_L_KG_010301_1C2
2012,1.283635,_L_KG_010301_1C2
2013,1.3,_L_KG_010301_1C2
2014,1.3,_L_KG_010301_1C2
2015,1.3,_L_KG_010301_1C2
2016,1.4,_L_KG_010301_1C2
2017,1.4,_L_KG_010301_1C2
2018,1.4,_L_KG_010301_1C2
2019,1.4,_L_KG_010301_1C2
2020,1.4,_L_KG_010301_1C2
2021,1.46836,_L_KG_010301_1C2
