Year,Value,UNIT_MEASURE,SERIES
2019,484,NUMBER,SG_GOV_LOGV
2020,484,NUMBER,SG_GOV_LOGV
2021,484,NUMBER,SG_GOV_LOGV
2022,484,NUMBER,SG_GOV_LOGV
2023,484,NUMBER,SG_GOV_LOGV
2024,484,NUMBER,SG_GOV_LOGV
2019,101,PT,SG_DSR_SILS
2020,132,PT,SG_DSR_SILS
2021,215,PT,SG_DSR_SILS
2022,345,PT,SG_DSR_SILS
2023,405,PT,SG_DSR_SILS
2024,412,PT,SG_DSR_SILS
2019,49,NUMBER,SG_DSR_SILN
2020,67,NUMBER,SG_DSR_SILN
2021,104,NUMBER,SG_DSR_SILN
2022,167,NUMBER,SG_DSR_SILN
2023,169,NUMBER,SG_DSR_SILN
2024,172,NUMBER,SG_DSR_SILN
