Year,Value,SERIES
2007-A1,25.6,SG_GEN_PARL
2008-A1,25.6,SG_GEN_PARL
2009-A1,25.6,SG_GEN_PARL
2010-A1,23.5,SG_GEN_PARL
2011-A1,20.8,SG_GEN_PARL
2012-A1,20.8,SG_GEN_PARL
2013-A1,22.5,SG_GEN_PARL
2014-A1,21.7,SG_GEN_PARL
2015-A1,21.7,SG_GEN_PARL
2016-A1,15.8,SG_GEN_PARL
2017-A1,16.7,SG_GEN_PARL
2018-A1,15.8,SG_GEN_PARL
2019-A1,16.7,SG_GEN_PARL
2020-A1,16.7,SG_GEN_PARL
2021-A1,20.5,SG_GEN_PARL
2016-A1,15.61,SG_GEN_LOCG
2017-A1,15.09,SG_GEN_LOCG
2018-A1,14.96,SG_GEN_LOCG
2019-A1,15.16,SG_GEN_LOCG
2020-A1,14.98,SG_GEN_LOCG
2021-A1,31.55,SG_GEN_LOCG
2022-A1,36.46,SG_GEN_LOCG
