Year,Value,Units,Series
2010,18.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2011,18.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2012,19.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2013,19.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2014,21.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2015,22.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2016,24.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2017,23.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2018,22.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2019,20.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES._L_KG_081002_2A
2010,477.2,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2011,292.9,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2012,337.8,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2013,405.4,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2014,1003.2,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2015,967.0,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2016,921.3,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2017,1004.4,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2018,1092.7,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
2019,1308.1,CL_UNIT_MEASURE.CUR_LCU,CL_SERIES._L_KG_081002_2B
