Year,Value,Units,Series
2007,470.7,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2008,504.3,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2009,545.7,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2010,532.9,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2011,566.6,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2012,603.1,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2013,619.0,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2014,638.6,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2015,653.1,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2016,682.2,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2017,709.9,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2018,731.6,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2019,756.6,CL_UNIT_MEASURE.NUMBER,CL_SERIES.IS_RDP_PFVOL
2007,30.0,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2008,34.3,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2009,36.3,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2010,36.9,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2011,37.7,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2012,39.8,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2013,41.0,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2014,28.9,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2015,29.7,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2016,31.2,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2017,31.9,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2018,33.0,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
2019,34.2,CL_UNIT_MEASURE.T,CL_SERIES.IS_RDP_FRGVOL
