Year,Value,SERIES
2012,975,IT_MOB_2GNTWK
2013,976,IT_MOB_2GNTWK
2014,977,IT_MOB_2GNTWK
2015,978,IT_MOB_2GNTWK
2016,990,IT_MOB_2GNTWK
2017,991,IT_MOB_2GNTWK
2018,992,IT_MOB_2GNTWK
2019,993,IT_MOB_2GNTWK
2020,990,IT_MOB_2GNTWK
2012,463,IT_MOB_3GNTWK
2013,510,IT_MOB_3GNTWK
2014,570,IT_MOB_3GNTWK
2015,590,IT_MOB_3GNTWK
2016,600,IT_MOB_3GNTWK
2017,750,IT_MOB_3GNTWK
2018,880,IT_MOB_3GNTWK
2019,910,IT_MOB_3GNTWK
2020,893,IT_MOB_3GNTWK
2014,5,IT_MOB_4GNTWK
2015,16,IT_MOB_4GNTWK
2016,400,IT_MOB_4GNTWK
2017,500,IT_MOB_4GNTWK
2018,700,IT_MOB_4GNTWK
2019,850,IT_MOB_4GNTWK
2020,819,IT_MOB_4GNTWK
