Value,Disaggregation combinations using this value,Number of indicators
CL_AGE.M0T5,1,1
CL_AGE.M12T17,1,1
CL_AGE.M12T23,1,1
CL_AGE.M18T23,1,1
CL_AGE.M24T35,2,2
CL_AGE.M36T47,1,1
CL_AGE.M48T59,2,2
CL_AGE.M6T11,2,2
CL_AGE.Y0T14,1,1
CL_AGE.Y0T17,2,2
CL_AGE.Y0T18,1,1
CL_AGE.Y0T20,1,1
CL_AGE.Y0T5,1,1
CL_AGE.Y10T14,1,1
CL_AGE.Y12T14,1,1
CL_AGE.Y14T28,2,2
CL_AGE.Y15T17,6,4
CL_AGE.Y15T19,6,6
CL_AGE.Y15T24,10,2
CL_AGE.Y15T28,6,6
CL_AGE.Y15T49,30,2
CL_AGE.Y16T62,2,2
CL_AGE.Y17T20,3,1
CL_AGE.Y17T24,3,1
CL_AGE.Y18T19,2,2
CL_AGE.Y18T49,5,2
CL_AGE.Y18T64,1,1
CL_AGE.Y1T2,1,1
CL_AGE.Y20T24,4,4
CL_AGE.Y20T29,2,2
CL_AGE.Y21T30,1,1
CL_AGE.Y25T29,4,4
CL_AGE.Y29T62,6,6
CL_AGE.Y30T34,4,4
CL_AGE.Y30T39,2,2
CL_AGE.Y31T40,1,1
CL_AGE.Y35T39,4,4
CL_AGE.Y3T4,2,2
CL_AGE.Y40T44,4,4
CL_AGE.Y40T49,2,2
CL_AGE.Y41T50,1,1
CL_AGE.Y45T49,4,4
CL_AGE.Y50T54,1,1
CL_AGE.Y50T59,2,2
CL_AGE.Y55T59,1,1
CL_AGE.Y5T11,1,1
CL_AGE.Y5T9,1,1
CL_AGE.Y60T64,1,1
CL_AGE.Y60T69,1,1
CL_AGE.Y65T69,2,2
CL_AGE.Y7T14,1,1
CL_AGE.Y_GE25,1,1
CL_AGE.Y_GE51,1,1
CL_AGE.Y_GE58,8,8
CL_AGE.Y_GE65,1,1
CL_AGE.Y_GE70,3,3
