Value,en,Disaggregation combinations using this value,Number of indicators
Молоко и молочные продукты (в пересчете на молоко),Milk and dairy products in milk equivalent,1,1
Яйца,Eggs,1,1
Рыба и рыбопродукты,Fish and fish products,1,1
Фрукты и ягоды,Fruits and berries,1,1
Мясо и мясопродукты в пересчете на мясо (включая сало и субпродукты),"Meat and meat products in meat equivalent, including bacon and offal",1,1
Картофель,Potatoes,1,1
Сахар,Sugar,1,1
Растительное масло,Vegetable oils,1,1
Овощи и бахчевые,Vegetables and gourds,1,1
" Пшеница и продукты ее переработки  , в муке",Wheat and wheat products in flour equivalent,1,1
