Value,en,Disaggregation combinations using this value,Number of indicators
Ведение домашнего хозяйства,Ведение домашнего хозяйства,2,1
Воспитание детей,Воспитание детей,2,1
Государственные услуги общего назначения,Государственные услуги общего назначения,1,1
Госуправление,Госуправление,1,1
Другие,Другие,1,1
Жилищные и коммунальные услуги,Жилищные и коммунальные услуги,1,1
Здравоохранение,Здравоохранение,2,2
Инфраструктура (водоснабжение),Инфраструктура (водоснабжение),1,1
Образование,Образование,2,2
Организация отдыха и культурно-религиозная деятельность,Организация отдыха и культурно-религиозная деятельность,1,1
Охрана окружающей среды,Охрана окружающей среды,1,1
Помощь родственникам и знаокомым,Помощь родственникам и знаокомым,2,1
"Работа на приусадебном, дачном, садовом участке","Работа на приусадебном, дачном, садовом участке",2,1
Сельское хозяйство,Сельское хозяйство,1,1
Социальная защита,Социальная защита,1,1
Транспорт,Транспорт,1,1
Экономические вопросы,Экономические вопросы,1,1
Энергетика,Энергетика,1,1
