Value,en,Disaggregation combinations using this value,Number of indicators
Баткенская область,Batken Oblast,20,12
г. Бишкек,г. Бишкек,10,6
г. Ош,г. Ош,10,6
г.Бишкек,г.Бишкек,10,6
г.Ош,г.Ош,10,6
Джалал-Абадская область,Джалал-Абадская область,20,12
Иссык-Кульская область,Иссык-Кульская область,20,12
Нарынская область,Нарынская область,20,12
Ошская область (до 2013г. включая г. Ош),Ошская область (до 2013г. включая г. Ош),1,1
Ошская область,Ошская область,19,11
Таласская область,Таласская область,20,12
Чуйская область,Чуйская область,20,12
