Value,en,Disaggregation combinations using this value,Number of indicators
Высшее профессиональное,Высшее профессиональное,1,1
Высшее,Высшее,1,1
Другое,Другое,1,1
Начальное и ниже,Начальное и ниже,3,3
Незаконченное высшее профессиональное,Незаконченное высшее профессиональное,1,1
Основное общее,Основное общее,4,4
Профессиональное высшее,Профессиональное высшее,3,3
Профессиональное начальное/среднее,Профессиональное начальное/среднее,1,1
"Профессиональное среднее, общее","Профессиональное среднее, общее",2,2
Профессиональное среднее/ общее,Профессиональное среднее/ общее,1,1
Среднее общее,Среднее общее,5,5
Среднее профессиональное,Среднее профессиональное,1,1
